1'上半场比赛开始！！                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
1'首先开球的是巴萨                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
1'巴萨中场控球被断了                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
1'马竞反击被塞梅多放倒                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
2'马竞将球给到边路                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
2'勒马尔接球先越位了                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
3'巴萨中场耐心控球                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
3'左路送直塞给到底线                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
3'直接出去了                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
17'格列兹曼右路拿球到了禁区前沿                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
17'横向的转移                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
17'最后左路的传球太过草率了                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
17'梅西中场拿球                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
17'巴萨连续的传递到了苏亚雷斯脚下                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
17'苏亚雷斯传中被解围                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
18'巴萨的角球                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
18'角球打了一个战术配合                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
18'右路再传禁区                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
18'后卫头球顶出底线                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
19'巴萨继续获得角球                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
20'还是一个战术                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
20'右路底线下底到门前                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
20'奥布拉克将球得到                   17'全场首次射门出现在第17分钟，罗德里传球，勒马尔远射偏出
75'任意球给到禁区里                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
75'前点形成乱战                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
75'有手球？？！！                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
76'比达尔解围的时候头球顶在了本方球员的手臂上                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
