4'上海申鑫队后场拦截，快速的走中路进攻，挑传球                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
4'查尔顿被放倒在地～                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
5'上海申鑫队中场的任意球，直接开到禁区内，交给了对方的门将                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
6'河南建业队中场推进，黄希扬大范围转移球到左侧，再转移球被拦截下来                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
6'查尔顿中场控球，想过人没成功，球再转移回来，交到了于涛的脚下                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
7'上海申鑫队右路的直塞球，刘峻楠起动早了～越位                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
8' 小坏o不乖19:51今天早上我闺女出生了，希望建业拿下这场比赛，那就双喜临门了。回复 恭喜你呀～嘿嘿                   8'第8分钟王S禁区外突然冷射高出
9'上海申鑫开场攻势还蛮强势的                   8'第8分钟王S禁区外突然冷射高出
9'上海申鑫队中场渗透，转移球给王赟，后者的远射，球打高了～                   8'第8分钟王S禁区外突然冷射高出
10'河南建业队左路的传球失误～                   8'第8分钟王S禁区外突然冷射高出
10'河南建业队中场抢断，走右路推进，肖智控球转移到中路                   8'第8分钟王S禁区外突然冷射高出
10'李志南的传球打在防守队员身上挡出来                   8'第8分钟王S禁区外突然冷射高出
10'河南建业队交到左路的传中球赢得一个角球机会                   8'第8分钟王S禁区外突然冷射高出
11'角球由黄希扬来主罚，开后点，没有人能够顶到球，出了另一侧的底线                   8'第8分钟王S禁区外突然冷射高出
11'比赛进行10分钟了！                   8'第8分钟王S禁区外突然冷射高出
20'上海申鑫队任意球开到后点被防守队员挡出来，外围孙凯的远射，偏得有点离谱                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
20'比赛进行20分钟了                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
21'河南建业队断球反击，斜传球到右侧，谭望蒿的一脚吊门的在门框上沿弹出了底线                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
21'这脚射门很有创意呀～                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
22'--大偉愛然然__20:04建业好像不占优势啊回复：主打防守反击～                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
22'张璐禁区前沿控球，被放倒了～                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
22'河南建业队获得任意球机会～黄希扬的射程之内呀                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
22'上海申鑫队排起五人的人墙～                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
23'黄希扬主罚任意球，直接打门打在人墙上～                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
23'河南建业队前场继续控球，右路的传中球被对方头球顶出来                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
23'上海申鑫队进球！查尔顿！                   20'第20分钟黄希扬放倒刘竣楠，申鑫任意球开到禁区被挡出，孙凯远射高出
22'--大偉愛然然__20:04建业好像不占优势啊回复：主打防守反击～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
22'张璐禁区前沿控球，被放倒了～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
22'河南建业队获得任意球机会～黄希扬的射程之内呀                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
22'上海申鑫队排起五人的人墙～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
23'黄希扬主罚任意球，直接打门打在人墙上～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
23'河南建业队前场继续控球，右路的传中球被对方头球顶出来                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
23'上海申鑫队进球！查尔顿！                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
24'上海申鑫队反击，中路一脚直传穿透对方的防线～查尔顿突入禁区内面对周亚君推射破门！                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
25'河南建业队中路直传到禁区内，约翰逊摔倒在地上～不过裁判没吹～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
25'吕永君20:12预测申鑫四比一河南，凯杀加油，哈，查尔顿给力回复：反击非常生猛呀～                   22'第22分钟于涛禁区外放倒张璐，河南拿到禁区外一点任意球机会，黄希扬任意球打在乔尼头上弹出
29'上海申鑫队的进球能否激发河南建业队的斗志？上半场河南建业能否扳平？A、能 B、不能[qiangda]                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
29'王赟中场控球又被放倒在地上～倒地不起～肖智上来想把他扶起来                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
30'凯撒对裁判喋喋不休，吃到黄牌                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
30'上海申鑫队的助理教练又被主裁判黄牌警告                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
31'镜头给了刘殿座，依在右侧立柱上，难道是坐山观虎斗？                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
32'河南建业队右路快速的推进，肖智控球，在对方的逼抢下球带出了边线                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
32'杨昌名名20:19无名，，你觉得建业和申鑫哪个保级形式要困难点回复：河南建业得加油呀                   29'丢球后的河南队急于进攻，第29分钟，黄希扬在于涛的干扰下远射偏出
34'上海申鑫队右路的直传球，桑科漏顶啦～凯撒带球突入禁区内打高，球打高了                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
34'河南建业队中场抢断，斜长传找张璐，球被拦截                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
34'比赛进行35分钟了～                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
35'河南建业队中场控球，黄希扬长传球被防守队员挡出了底线～                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
35'解围的是查尔顿                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
36'角球开到禁区内，李磊的头球攻门被门将托出了底线，                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
37'继续开角球～黄希扬来主罚，发战术角球，右路的传中球被挡出来                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
37'河南建业队断球反击，右路传球被叶重秋挡出边线                   34'第34分钟申鑫右路找到机会，凯撒切入禁区强行射门打高
46'下半场比赛开始                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
46'河南建业队快速进攻，挑传球！肖智禁区内停球没办法起脚打门，被挡出来                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
47'河南建业队左咱迭球，李磊晃过防守挑传到禁区内～乔尼漏球～幸好门将反应快把球没收                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
47'上海申鑫队禁区右侧的右路传中，凯撒侧身的倒勾打门，高了～                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
48'肖智冲抢犯规～放倒了唐佳庶，吃到黄牌～                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
49'下半场比赛河南建业队加强了攻势                   46'第46分钟刘骏楠右路传中，凯撒人群中奋力倒钩高出
48'肖智冲抢犯规～放倒了唐佳庶，吃到黄牌～                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
49'下半场比赛河南建业队加强了攻势                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
50'黄希扬挑传球到禁区内，徐洋右脚背外侧的打门，被门将没收                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
50'约翰逊左路传中球被防守队员顶了一下，门将跃起没收                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
50'河南建业队继续控球，李磊左侧推进，交给张璐，再转移给买提江                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
50'张璐横向盘带到禁区内，再转移到右侧，斜传球被挡出来                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
50'买提江右路再起球传中，力量大了～                   48'48分钟徐洋在左路禁区内切入，但面对刘殿佐，他的射门过轻
