1'卡沃内罗为切塞纳在对方半场,赢得一个任意球.                   1'赛前默哀1分钟，悼念上周日车祸去世的30岁意丙裁判科洛西莫
1'国际米兰球员安德雷奥利拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念上周日车祸去世的30岁意丙裁判科洛西莫
4'切塞纳球员卡沃内罗拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念上周日车祸去世的30岁意丙裁判科洛西莫
4'拉诺齐亚为国际米兰赢得一个任意球.                   1'赛前默哀1分钟，悼念上周日车祸去世的30岁意丙裁判科洛西莫
21'久里奇为切塞纳赢得一个任意球.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
21'国际米兰球员安德雷奥利拼抢犯规,对手获得控球权.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
21'切塞纳球员卡沃内罗大禁区右侧右脚射门,被防守球员封堵.给他传球的是久里奇.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
21'切塞纳球员乔尔吉大禁区外右脚射门,被防守球员封堵.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
21'乔尔吉为切塞纳在对方半场,赢得一个任意球.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
21'国际米兰球员库兹曼诺维奇拼抢犯规,对手获得控球权.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
23'切塞纳球员德福雷尔大禁区外左脚射门,被防守球员封堵.给他传球的是乔尔吉.                   20'第20分钟，沙奇里左大腿肌肉受伤，示意场边要求换人，埃尔纳内斯和科瓦契奇同时热身，后者随后替补出场
34'国际米兰球员瓜林大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
35'切塞纳球员Hördur Magnusson拼抢犯规,对手获得控球权.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
35'帕拉西奥为国际米兰在对方半场,赢得一个任意球.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
36'切塞纳球员德弗蒂斯拼抢犯规,对手获得控球权.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
36'德安布罗西奥为国际米兰赢得一个任意球.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
37'国际米兰球员库兹曼诺维奇大禁区中央右脚射门,被防守球员封堵.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
37'切塞纳球员德福雷尔拼抢犯规,对手获得控球权.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
37'科瓦契奇为国际米兰在对方半场,赢得一个任意球.                   34'第34分钟，卡沃内罗中路送出过顶球，德弗雷尔在门前13米处直接凌空吊过汉达诺维奇入网，1比0，他成为切塞纳本赛季意甲头号得分手(6球)，切塞纳近3个联赛客场首度破门
38'国际米兰球员瓜林大禁区中央尝试头球,可惜皮球高出球门.给他传球的是库兹曼诺维奇.                   38'第38分钟，库兹曼诺维奇开出任意球，瓜林头球高出
39'国际米兰球员瓜林小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是多多.                   38'第38分钟，库兹曼诺维奇开出任意球，瓜林头球高出
47'国际米兰球员多多大禁区外左脚射门,被防守球员封堵.给他传球的是瓜林.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
47'国际米兰球员多多一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
48'进球啦！！！国际米兰球员帕拉西奥小禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是伊卡尔迪. 国际米兰 1-1 切塞纳.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
49'切塞纳球员德福雷尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
49'Hördur Magnusson为切塞纳赢得一个任意球.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
49'国际米兰球员科瓦契奇拼抢犯规,对手获得控球权.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
50'克拉你克将球处理出底线,国际米兰获得角球.                   47'下半时，曼奇尼用波多尔斯基换下库兹曼诺维奇，第47分钟，多多禁区前沿左脚射门，伊卡尔迪将球挑起，在门前7米处倒钩破门，但被判无效，慢镜显示他似乎并未越位
55'国际米兰球员波多尔斯基大禁区外左脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   55'第55分钟，波多尔斯基右路内切，禁区弧顶左脚大力抽射击中左门柱弹回
55'切塞纳球员卡沃内罗一脚直塞球给德弗蒂斯,但是边裁举旗显示后者已经越位.                   55'第55分钟，波多尔斯基右路内切，禁区弧顶左脚大力抽射击中左门柱弹回
75'国际米兰球员伊卡尔迪球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是帕拉西奥.                   75'第75分钟，帕拉西奥禁区左侧脚后跟传球，伊卡尔迪左脚小角度斜射滑出远门柱
75'射门!!!国际米兰球员波多尔斯基大禁区右侧左脚射门,被对方守门员横身扑出.                   75'第75分钟，帕拉西奥禁区左侧脚后跟传球，伊卡尔迪左脚小角度斜射滑出远门柱
75'卡佩里将球处理出底线,国际米兰获得角球.                   75'第75分钟，帕拉西奥禁区左侧脚后跟传球，伊卡尔迪左脚小角度斜射滑出远门柱
