2'乔文科反越位突入禁区接应队友的直传球，不过门将布尔基奇出击很快把球化解                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
2'基耶里尼被对方绊倒                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
3'迪纳塔莱大禁区右路拿到球，横向内切后左脚的打门没有力量，布冯轻松把球拿到                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
3'阿萨莫阿左路下底面对巴斯塔的防守没有突破成功                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
3'今天停赛的孔蒂还是在观众席的包间里观看比赛                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
4'同时切尔西的主教练迪马特奥也来到现场考察尤文图斯的情况                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
4'今年的欧冠尤文和切尔西分在一个小组                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
4'基耶里尼和巴斯塔争抢高空球的时候被巴斯塔撞倒了                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
5'利希施泰纳接到皮尔洛中场的挑传后反越位突入禁区，面对出击门将的挑射高出横梁！！！                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
7'法布里尼左路强行下底，被比达尔挡出底线，角球                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
8'巴斯塔中路头球攻门高了                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
8'法布里尼开赛后很活跃，控制住球后交到左路的阿尔梅罗                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
8'阿尔梅罗传中被后卫顶出来                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
9'外围平齐迎球打门高的比较离谱了                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
9'马尔基西奥中路的一脚直传直接送出了底线                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
10'从刚刚开始的10分钟，还是主场坐镇的乌迪内比较主动                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
10'不过最好的一次打门机会还是皮尔洛和利希施泰纳的必杀配合                   7'第7分钟，法布里尼左路似传似射被比达尔挡出底线，拉扎里开出角球，多米齐头球摆渡，巴斯塔左脚打高
12'不过利希施泰纳右路下底传中没起来                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
12'点球！！！尤文的点球！！门将布尔迪奇撞倒了乔文科！！                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
12'同时出了红牌！！                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
