4'弗尔萨利科掷球到禁区，被解围                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
4'阿马维左侧长传过不了弗尔萨利科                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
4'帕耶分右侧，托万做墙传球                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
4'帕耶中路得球直传，热尔曼插上停球打门了，可惜单刀球打飞！                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
5'非常可惜，必进之球啊                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
6'萨尔右面的变向突破，被科克绊倒                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
6'帕耶斜传禁区，戈丁头球解围                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
6'拉米禁区边缘的转身打门，打偏了                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
7'阿马维右侧长传，给大了，戈丁大脚解围出边线                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
21'马德里竞技的机会                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
21'格列兹曼先开纪录！                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
22'马赛后场失误                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
22'古斯塔沃回传给曼丹达，曼丹达直传，扎姆博停大了                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
22'萨乌尔断球直传                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
23'格列兹曼插上禁区内推射破网                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
