11'门兴中路分禁区左侧！                   10'开场10分钟，门兴首次射门就取得领先
11'普利亚得球内切！                   10'开场10分钟，门兴首次射门就取得领先
11'一个轻巧的搓射！！                   10'开场10分钟，门兴首次射门就取得领先
11'打右下角！！                   10'开场10分钟，门兴首次射门就取得领先
11'GOOOOOOOOOOOOOOAL！！                   10'开场10分钟，门兴首次射门就取得领先
11'穆勒右侧反击！                   10'开场10分钟，门兴首次射门就取得领先
12'直接来一脚远射！                   10'开场10分钟，门兴首次射门就取得领先
12'球打偏了！                   10'开场10分钟，门兴首次射门就取得领先
13'穆勒中路挑传莱万多夫斯基！                   10'开场10分钟，门兴首次射门就取得领先
13'分右侧罗本！传中被解围了！                   10'开场10分钟，门兴首次射门就取得领先
51'偏出了右侧禁区！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
51'基米希得球回传给蒂亚戈！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
51'转身回传聚勒！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
51'挑传左侧里贝里！直塞禁区左侧！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
51'球出了底线！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
52'拜仁这边阿拉巴受伤了！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
52'队医进来查看！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
53'格纳布里右侧推进！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
53'强行突破底线！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
53'球拼抢出了底线！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
53'给了门球！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
54'基米希右侧得球！横传给J罗！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
54'挑传禁区左侧被头球解围了！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
54'J罗得球横传中路蒂亚戈！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
54'横传左侧胡梅尔斯！                   51'6分钟后，霍夫曼抢断蒂亚戈横传，施廷德尔扣过胡梅尔斯，禁区边缘低射入左下角，2比0，门兴前两脚射门全部命中
48'霍夫曼中场得球直接吊门！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
48'送给了诺伊尔！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
50'里贝里左侧突破下底传中！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'偏出了右侧禁区！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'基米希得球回传给蒂亚戈！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'转身回传聚勒！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'挑传左侧里贝里！直塞禁区左侧！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'球出了底线！                   48'3分钟后，戈雷茨卡直塞禁区左侧，莱万在门前7米处左脚低射被佐默得到
51'偏出了右侧禁区！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
51'基米希得球回传给蒂亚戈！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
51'转身回传聚勒！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
51'挑传左侧里贝里！直塞禁区左侧！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
51'球出了底线！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
52'拜仁这边阿拉巴受伤了！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
52'队医进来查看！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
