4'傅欢右路拿球，给身后进禁区                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
4'杜佳出击把球没收了                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
4'蔡惠康中场丢球                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
4'乔纳森左路拿球，转移出去                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
5'杨帆拿球过中场，分右路                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
5'泰达进球了！！！                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
5'乔纳森！！！                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
5'泰达早早的1-0领先了                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
5'白岳峰右路起球到门前，乔纳森头球冲顶弹地破门                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
6'颜骏凌鞭长莫及                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
6'蔡惠康中场拿球，回敲回去组织                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
6'奥斯卡斜传右路傅欢                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
7'做球给身前，被赵宏略破坏                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
7'胡尔克斜传远端，出界了                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
7'于海前场争顶，推人了                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
8'赵宏略左路拿球，面对傅欢                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
8'传球被贺惯补防解围了                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
9'奥斯卡分左路，陈彬彬传中                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
9'远点武磊头球摆渡回来，没有队友                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
10'武磊左路禁区下底，倒三角                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
10'奥斯卡跟上的打门被杜佳扑出去                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
10'胡尔克右路接应高球，先出界了                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
11'石柯后场争顶，扛住了李源一                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
11'乔纳森回撤接应，斜传右路转移                   8'第8分钟武磊左路突破，在皮球即将出界前，武磊把球传出，门前埃尔克森受到多人围抢，无法射门，埃尔克森往外送球，于海射门又被挡出
14'武磊右路传球，被头球顶出                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
14'米克尔中场挑传过顶，身后                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
14'石柯抢在乔纳森前，解围出边线                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
14'李源一左路回敲，赵宏略传中被破坏                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
15'赵宏略左路内切一步，传中去门前                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
15'弹地后被颜骏凌没收了                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
15'陈彬彬左路拿球，过人进禁区了                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
