1'上半场比赛开始！！                   1'[皇马第1分钟展开积极攻势
1'白衣白裤的皇马，从画面的右侧向左进攻！                   1'[皇马第1分钟展开积极攻势
3'克罗斯中场拿球，斜传给到C罗                   1'[皇马第1分钟展开积极攻势
3'C罗内切打门，被后卫挡出！！                   1'[皇马第1分钟展开积极攻势
4'皇马首发：卡西利亚；拉莫斯、瓦拉内、卡瓦哈尔、纳乔；克罗斯、莫德里奇、阿森西奥；C罗、莫拉塔、贝尔                   1'[皇马第1分钟展开积极攻势
4'纳乔左路拿球，直塞找贝尔，被挡出边线！                   1'[皇马第1分钟展开积极攻势
8'纳乔左路拿球，再突下底，被阿萨米放倒在地！                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
8'皇马获得大禁区左侧，靠近底线位置的任意球机会                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
8'克罗斯任意球斜传禁区，阿森西奥的头球，被挡出底线！                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
8'皇马再次赢得右侧角球机会！！                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
8'角球开出到门前，莫拉塔的甩头攻门，顶高！！1                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
9'卡瓦哈尔右路拿球，面对逼抢，回传瓦拉内                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
9'瓦拉内再给卡西利亚，卡西利亚分球莫德里奇                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
10'莫德里奇再给克罗斯，克罗斯直塞找莫拉塔，被断啦                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
10'戈麦斯拿球，面对逼抢，分球右路给米歇尔                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
10'米歇尔在回传后场给门将瓦拉斯                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
11'上半场比赛10分钟，比分依旧是0-0！！                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
11'贝尔右路拿球，内切后的传中，被防守球员挡出！                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
11'皇马前场再攻，转移球到左路给纳乔                   8'皇马第8分钟险些破门，克罗斯左路底线附近任意球传中，莫拉塔8码处头球攻门被巴拉斯神勇托出横梁
27'米歇尔前场右路拿球，直塞给到塔纳                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
28'塔纳趟两步，再横传中间想给米歇尔，被断啦                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
28'阿森西奥左路拿球反击，带球到前场                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
29'没有队友上来接应，阿森西奥遭遇包夹                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
29'球丢了，被回防的米歇尔成功抢断！                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
29'拉斯帕尔玛斯中场的过顶球到禁区                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
30'塔纳插上胸部停球，凌空打门，被卡西利亚没收                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
30'不过主裁判也鸣哨了，塔纳越位在先！！                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
30'贝尔右路拿球，内切禁区，强突下底横传到门前                   27'拉斯帕尔马斯第27分钟险些破门，比埃拉送出挑传，塔纳12码处凌空垫射却正入卡西利亚下怀
38'莫莫左路拿球，传中到前点，利瓦贾的头球后蹭，塔纳后点停球，拨一下，左脚抽射，打进球门左下角！                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
39'皇马进球，5分钟后城池失守，双方再次站在同一起跑线！                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
40'格维多中场拿球，分球给前场的比埃拉                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
