1'双方上半场比赛开始啦                   1'第1分钟，两队防守都非常严密
1'本菲卡身穿红衣黑裤从右向左进攻                   1'第1分钟，两队防守都非常严密
2'本场主裁判：（德国）布里奇                   1'第1分钟，两队防守都非常严密
2'本场主裁判：（德国）布里奇                   2'2分钟后，莫雷诺铲翻苏莱曼尼，也吃到黄牌，盖坦右侧开出任意球，门将贝托倒地扑球脱手，加拉伊后门柱小角度推射被帕雷哈挡出底线
30'雷耶斯拿球，过了中线直接被上来的西奎埃拉撞翻在地                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
30'西奎埃拉再被主裁判出示了黄牌警告！！！                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
30'塞维利亚获得前场的任意球机会                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
31'任意球吊到禁区，第一点被后卫头球解围                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
31'姆比亚得球直塞打身后，奥布拉克及时出击，在大禁区线上，面对巴卡抢先将球拿到                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
32'决赛赛场，双方的拼抢都很积极，动作也都不小                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
33'本菲卡传球失误，塞利维亚的反击                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
33'巴卡前场拿球，没有队友上来，控制节奏                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
33'巴卡和姆比亚的踢墙配合，姆比亚再传禁区被后卫挡出                   30'第30分钟，西凯拉放倒姆比亚，被出示黄牌
40'坐在地上完成射门，没啥威力了                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
40'本菲卡中场过顶球到前场，帕雷哈面对上抢球员直接将球解围出底线                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
40'本菲卡再次获得右侧角球机会                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
41'角球开出到禁区，佩雷拉的头球攻门，顶高！！！                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
41'利玛前场争抢中，和科克形成对脚，被吹蹬踏犯规                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
42'本菲卡主帅赫苏斯，他能否打破本菲卡51年来欧战无冠的古特曼魔咒呢？                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
43'塞维利亚这段时间两个边路的进攻很犀利                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
43'现场的塞维利亚球迷也是欢天喜地，手舞足蹈为球队加油，激情啊                   40'第40分钟，盖坦右侧开出角球，路易松在门前8米处头球偏出
48'罗德里戈前插接应，倒在了禁区里                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'不过主裁判没有表示，同时鸣哨结束半场                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'巴卡禁区内停球，没有角度                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'自己调整中再想起脚，被佩雷拉抢先解围出底线                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'塞维利亚继续获得角球，拉基蒂奇主罚                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'角球开出到禁区，第一点被后卫解围                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'本菲卡的反击，好机会啊                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
49'罗德里戈的打门，被后卫在门线上挡出                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
49'禁区内混战，可惜戈麦斯再想补射，被回防的卡里科大脚解围                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
51'塞维利亚这边的射手加梅罗在替补席，看看何时登场吧                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
