1'上半场比赛开始！                   1'两队第1分钟展开激烈拼抢
1'首先开球的是利物浦                   1'两队第1分钟展开激烈拼抢
2'塞维利亚中场获得任意球                   1'两队第1分钟展开激烈拼抢
2'任意球给到禁区内                   1'两队第1分钟展开激烈拼抢
2'进攻球员手上有拉拽的动作                   1'两队第1分钟展开激烈拼抢
3'埃姆雷-詹后场绊倒对方                   1'两队第1分钟展开激烈拼抢
3'塞维利亚前场右路再次获得任意球                   1'两队第1分钟展开激烈拼抢
3'巴内加任意球打了一个低平球                   1'两队第1分钟展开激烈拼抢
3'给了一个短的                   1'两队第1分钟展开激烈拼抢
3'塞维利亚这边自己也是没有形成默契                   1'两队第1分钟展开激烈拼抢
11'巴内加中场长传                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
11'第一下没有过顶                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
11'巴内加今天的位置比较靠后                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
11'克莱因右路拿球到底线                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
11'下底传中给到后点                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
11'斯图里奇头球顶远端                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
12'卡里科门线上打钩将球解围                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
12'这球索里亚在判断上也是出现了一定失误                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
12'菲尔米诺右路停球到禁区                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
13'再挑，卡里科有手球的嫌疑                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
13'这球裁判也是没有吹                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
13'慢镜头回放，这球卡里科有些故意手球的意思                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
13'但裁判终究是没吹                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
14'比托洛前场带球被断                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
14'拉拉纳前场拿球给中路                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
14'再送直塞带身后                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
14'这球给到比较深                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
14'利物浦的攻势也是渐渐起来了                   11'第11分钟，克莱因右路传中，斯图里奇远点小角度头球攻门被马里亚诺在门线前倒钩解围
35'1-0！！！                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
35'斯图里奇！！                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
35'外脚背左脚的弹射！！！                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
36'菲尔米诺右路拿球给到中路，库蒂尼奥接球后在分左路，斯图里奇接球后直接外脚背一脚弹射，索里亚扑救不及！                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
38'利物浦这边反击又来了                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
38'克莱因拿球给到禁区内                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
38'拉拉纳停球直接打门                   35'利物浦第35分钟打破僵局，拉拉纳和库蒂尼奥连续横传，斯图里奇禁区左侧16码处左脚外脚背抽射远角入网
40'角球送禁区中路，洛夫伦头球攻门顶了一个反弹球，斯图里奇在越位的位置上干扰了一下门将，最后进球没算进                   40'第40分钟，斯图里奇直传，拉米禁区边缘内明显手球犯规再次逃脱处罚
60'塞维利亚左路起球送禁区                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
60'中路，队友的推射被门将挡出底线                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
60'塞维利亚的角球机会                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
61'角球打了一个短的                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
61'利物浦将球解围出边线                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
61'塞维利亚界外球掷到禁区里                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
61'图雷头球顶了出去                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
61'利物浦这段时间有些被动                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
62'洛夫伦边路的上抢犯规                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
63'1-2！！！                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
63'科克！！！                   60'利物浦体力明显下降，塞维利亚开始逐渐控制比赛，第60分钟险些反超比分，恩宗齐头球摆渡，加梅罗近距离扫射被米尼奥莱挡出底线
70'1-3！！！！                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
70'科克！！！                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
71'塞维利亚左路拿球内切，低平球想分，结果被利物浦两名球员先后碰到，科克后点无人看防推射被米尼奥莱碰了一下还是进了！！                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
71'这球利物浦球员都在质疑这球越位了                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
71'而科克进球后也是先犹豫了一下后在庆祝                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
72'比赛继续进行                   70'塞维利亚第70分钟扩大比分，库蒂尼奥禁区边缘挡回皮球失误，科克小禁区前劲射被米尼奥莱扑挡后偏转入网，3-1
