3'林加德连禁区弧远射！被门将没收！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
4' 给中前场中路卢卡库！！卢卡库没拿好！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
4'球还在狼队这边！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
4'球被鲁本内维斯得到！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
5'德赫亚！！找身前的麦克托米奈！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
5'卢卡库头球攻门！！小禁区内！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
5' 帕特里西奥把球扑出！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
5'球这边出了边线！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
6'鲁本内维斯这球内得球！！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
5'德赫亚！！找身前的麦克托米奈！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
5'卢卡库头球攻门！！小禁区内！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
5' 帕特里西奥把球扑出！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
5'球这边出了边线！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
6'鲁本内维斯这球内得球！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
7' 这边林加德断球！！到了中圈内！！回身后弗雷德！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
7'球到了前场右侧！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
7' 被弗雷德得到！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
8' bibibi~~~~裁判一声哨响！！！！吹了麦克托米奈犯规了！！                   5'第5分钟，本场客串右边锋的达洛特在右侧传中，卢卡库禁区内在两名防守球员的夹防下，高高跃起头球轰门，但被狼队门将帕特里西奥神通化解
17' 狼队这边任意球开出！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
17' 给前场右侧！！球被马特多赫蒂得到！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
17' 回身后的麦克托米奈！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
17' 球 被穆蒂尼奥断下！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
18' 球被斯莫林踢出了底线！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
18' 左侧狼队的角球！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
18'横敲中路！弗雷德得球！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
19' 球被狼队这边断下！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
19'被顶到了左侧这边！！迪奥戈若塔得球！！回中圈内的鲁本内维斯！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
19'博格巴！！回身后的林德洛夫！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
