1'上半场比赛开始！                   1'曼联第1分钟展开积极攻势
1'首先开球的是沃特福德                   1'曼联第1分钟展开积极攻势
1'沃特福德中场拿球失误                   1'曼联第1分钟展开积极攻势
1'施魏因斯泰格滑铲将球留了下来                   1'曼联第1分钟展开积极攻势
1'曼联中场传球打身后                   1'曼联第1分钟展开积极攻势
2'埃雷拉禁区弧顶拿球没有控制好                   1'曼联第1分钟展开积极攻势
2'曼联右路低平球下底到禁区捏                   1'曼联第1分钟展开积极攻势
2'曼联前后两点都是没有碰到球                   1'曼联第1分钟展开积极攻势
2'送出助攻的是马塔                   1'曼联第1分钟展开积极攻势
2'这球传的也是非常有威胁                   1'曼联第1分钟展开积极攻势
2'施魏因斯泰格回到后场参与防守                   1'曼联第1分钟展开积极攻势
3'曼联这边两人抢到了一起                   1'曼联第1分钟展开积极攻势
3'迪尼禁区内头球摆渡下来                   1'曼联第1分钟展开积极攻势
3'马塔回来参与防守将球抢断                   1'曼联第1分钟展开积极攻势
3'曼联中场大范围转移到了左路                   1'曼联第1分钟展开积极攻势
3'布林德拿球稍微控一下                   1'曼联第1分钟展开积极攻势
3'斯马林中场拿球转移                   1'曼联第1分钟展开积极攻势
4'施魏因斯泰格拿球在观察                   1'曼联第1分钟展开积极攻势
4'横向的转移出现了失误                   1'曼联第1分钟展开积极攻势
4'德佩左路拿球到了禁区里                   1'曼联第1分钟展开积极攻势
4'传球送后点被后卫顶了出去                   1'曼联第1分钟展开积极攻势
4'曼联禁区前沿再传                   1'曼联第1分钟展开积极攻势
4'恩约姆禁区内的解围往自己门里走                   1'曼联第1分钟展开积极攻势
11'曼联右路策动进攻                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
11'埃雷拉接球摆脱没有控制好                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
11'埃雷拉前场拿球给右路                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
11'边路起球送禁区内                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
11'德佩！！！                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
12'此时此刻值得来杯嘉士伯                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
12'0-1！！！                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
12'埃雷拉右路起球送禁区内，德佩前插飞身垫射将球打进！！                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
12'这球距离太近，门将也是没有太多的反应                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
13'而沃特福德这次想造越位，但没有成功                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
13'比赛开始11分钟，曼联就先取得领先                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
13'曼联今天打得还是很放松                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
14'施奈德林中场拿球先回敲                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
14'曼联将球打到中场                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
14'边裁这边举旗了，越位！！                   11'曼联第11分钟取得领先，埃雷拉右路传中，摆脱防守的德佩小禁区前凌空垫射入网
21'曼联打了一个战术                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
21'埃雷拉边路拿球被断球了                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
21'沃特福德前场形成了2打2                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
21'球给到了伊格哈洛身后                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
21'伊格哈洛在调整，晃开后卫后小角度打门将球打偏了                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
21'这球也是非常的可惜                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
22'斯马林这球的补防也是很到位                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
23'沃森中场争抢头球的时候犯规                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
23'可能是早场的原因，比赛的节奏并不快                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
23'林加德底线拿球回敲                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
24'沃特福德用人数上的优势将球反抢                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
24'沃特福德球员的跑动很积极                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
24'施魏因斯泰格将球转移到左路                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
