9'汪嵩中场拿球转移被汪佳捷拦截                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
9'伊比尼左路拉开空当传中，前点被解围出边线                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
9'王燊超大力边线球抛入禁区，曹轩头球解围                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
9'禁区外武磊争抢犯规了                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
10'阿甘背身拿球，转身被蔡慧康卡住身位                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
10'武磊拿球摆脱，蔡慧康跟上接应被宋志伟铲飞                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
11'裁判出示黄牌警告了宋志伟！                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
11'蔡慧康接受治疗后起身，问题不大                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
12'上港进球了！！！                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
12'一连串漂亮的配合，由朱峥嵘打破了僵局！                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
13'李运秋右路和队友2过1之后横传禁区前，武磊远射力量不够，麦克布雷恩停球让给后上的朱峥嵘，后者的巧射打在立柱内侧弹入网窝！                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
13'上港1-0领先绿城！                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
14'汪佳捷拿球分到左路                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
14'王燊超调整一步传中，武磊禁区中路停球倒地扫射高出横梁！角球！                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
14'李运秋角球去后点，王燊超冲顶顶高！                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
15'麦克布雷恩左路拿球，越位在先了                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
15'绿城后场长传，伊班头球回点门将                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
16'朱峥嵘拿球去到左路，被石柯把球破坏                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
16'曹轩后场解围见高不见远                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
16'武磊接应队友传球突破被金东进绊倒，任意球                   13'进球后的上港继续进攻，第13分钟王龀传中，武磊门前转身扫射打在对方队员身上弹出界外
15'麦克布雷恩左路拿球，越位在先了                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
15'绿城后场长传，伊班头球回点门将                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
16'朱峥嵘拿球去到左路，被石柯把球破坏                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
16'曹轩后场解围见高不见远                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
16'武磊接应队友传球突破被金东进绊倒，任意球                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
17'上港获得禁区前靠右的任意球机会，位置不错                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
17'上港一个出其不意的任意球配合，李运秋低平球轻敲禁区内，武磊跟上直接抽近角打偏！                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
18'汪嵩后场大脚解围直接出了边线                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
18'蔡慧康中场后上抢断被阿甘绊倒                   15'第15分钟金东进左路防守武磊犯规，李运秋任意球突然走地滚球到中路，武磊跟上怒射打偏
34'金东进肋部搓传禁区，伊班头球解围                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
35'上港左路把球转移出来，武磊再分边，王燊超传中被顾超扑住                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
35'阿甘中场停球稍大被破坏出边线                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
36'上港中场横向的转移                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
37'汪佳捷中路接应，远射被封堵                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
37'李运秋右路助攻强突下底，高迪阻挡犯规                   34'第34分钟麦克布林再次通过左路发难，但球打在绿城队员身上后被顾超接住
43'王林右路带球，摆脱跟防的伊比尼回敲                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
44'朱峥嵘左路带球连过两人下底，再过没有成功                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
44'蔡慧康中场顶防把球权拿回，禁区前远射打偏！                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
45'上港禁区前的配合，左路武磊传中没有找到队友                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'上半场补时1分钟！                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'汪佳捷长传前场，没有队友接应                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'上半场比赛结束！                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'下半场比赛开始！                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'绿城中圈开球                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'阿甘头球摆渡找大黑将志，阿多解围                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'汪嵩再把球垫入禁区，颜俊凌把球拿到                   43'第43分钟金东进后场传球被断，蔡慧康禁区外着急远射打偏
46'上半场补时1分钟！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'汪佳捷长传前场，没有队友接应                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'上半场比赛结束！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'下半场比赛开始！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'绿城中圈开球                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'阿甘头球摆渡找大黑将志，阿多解围                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
46'汪嵩再把球垫入禁区，颜俊凌把球拿到                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
47'上港再进一球！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
47'金东进的乌龙球！！！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
48'麦克布雷恩前场接应让球，卡贝萨斯拿球进禁区推远点，武磊在球出底线前横扫，金东进伸脚把球蹭进了自家球门！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
48'上港2-0领先绿城！                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
48'大黑将志前场横敲被解围                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
48'绿城后场往前的输送传丢了                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
49'卡贝萨斯拿球回敲王燊超                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
49'王燊超直传前场被拦截了                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
49'绿城转移右路，王林的传球被挡出边线                   46'下半场刚开始1分钟，上港队沿左路进攻，麦克布林巧妙漏球，卡贝萨斯拿球后左路突破后再往右路传，金东进下意识一碰，球往底线滚去，但跟上的武磊不放弃，球将出底线时他抢先一步得球回传，球打在金东进腿上竟然折射进门了
50'朱峥嵘中场拿球反击，麦克布雷恩左路接应                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
50'麦克布雷恩斜传前场，武磊把球拿好回敲                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
50'卡贝萨斯左路拿球被王林破坏出边线                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
51'汪佳捷左路传中去后点，朱峥嵘没有争到落点                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
51'蔡慧康中场倒钩解围                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
52'卡贝萨斯接应队友直塞趟球进禁区，小角度斜射打偏！                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
