16'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
16'毛里为拉齐奥在右路,赢得一个任意球.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
16'卡利亚里球员德塞纳拼抢犯规,对手获得控球权.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
16'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
17'拉齐奥球员埃尔纳内斯大禁区外右脚射门,命中门柱横梁.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
18'射门!!!卡利亚里球员纳因格兰大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马克-苏.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
18'卡利亚里球员纳因格兰球门线跟前左脚射门,被防守球员封堵.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
18'卡利亚里球员埃夫勒一脚直塞球给纳因格兰,但是边裁举旗显示后者已经越位.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
19'拉米雷斯为卡利亚里在对方半场,赢得一个任意球.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
19'拉齐奥球员比亚瓦拼抢犯规,对手获得控球权.                   16'开场16分钟，蓝鹰几乎首开纪录，埃尔纳内斯任意球被横梁挡出
38'拉齐奥球员克洛泽球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃尔纳内斯.                   38'第38分钟，埃尔纳内斯直传，克洛泽反越位晃过门将阿加齐，禁区右侧铲射空门滑出右门柱
79'射门!!!拉齐奥球员坎德雷瓦大禁区右侧右脚射门,被对方守门员横身扑出.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
79'阿加齐将球处理出底线,拉齐奥获得角球.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
79'德尔法布罗将球处理出底线,拉齐奥获得角球.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
79'进球啦！！！拉齐奥球员孔科球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是比亚瓦. 拉齐奥 1-1 卡利亚里.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
81'罗塞蒂尼将球处理出底线,拉齐奥获得角球.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
81'射门!!!拉齐奥球员比亚瓦大禁区中央头球,被对方守门员横身扑出.给他传球的是埃尔纳内斯.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
82'内内为卡利亚里在对方半场,赢得一个任意球.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
82'拉齐奥球员齐亚尼拼抢犯规,对手获得控球权.                   79'第79分钟，坎德雷瓦右侧开出角球，比亚瓦头球吊射，孔科后门柱铲射扳平，1比1
46'德塞纳为卡利亚里赢得一个任意球.                   46'仅过1分钟，克洛泽单刀吊射落在球网上方，随后与阿加齐相撞倒地，奥尔萨托吹罚点球，并向阿加齐亮出第2张黄牌，卡利亚里球员非常愤怒，认为克洛泽在两人接触前已经完成了射门，奥尔萨托不为所动，又将科苏罚下
46'拉齐奥球员卢利奇拼抢犯规,对手获得控球权.                   46'仅过1分钟，克洛泽单刀吊射落在球网上方，随后与阿加齐相撞倒地，奥尔萨托吹罚点球，并向阿加齐亮出第2张黄牌，卡利亚里球员非常愤怒，认为克洛泽在两人接触前已经完成了射门，奥尔萨托不为所动，又将科苏罚下
47'卡利亚里球员德塞纳拼抢犯规,对手获得控球权.                   46'仅过1分钟，克洛泽单刀吊射落在球网上方，随后与阿加齐相撞倒地，奥尔萨托吹罚点球，并向阿加齐亮出第2张黄牌，卡利亚里球员非常愤怒，认为克洛泽在两人接触前已经完成了射门，奥尔萨托不为所动，又将科苏罚下
47'埃尔纳内斯为拉齐奥赢得一个任意球.                   46'仅过1分钟，克洛泽单刀吊射落在球网上方，随后与阿加齐相撞倒地，奥尔萨托吹罚点球，并向阿加齐亮出第2张黄牌，卡利亚里球员非常愤怒，认为克洛泽在两人接触前已经完成了射门，奥尔萨托不为所动，又将科苏罚下
