1'比赛开始了，曼联率先开球                   1'曼联第1分钟就占据主动
1'身着红衣白裤曼联从左向右攻                   1'曼联第1分钟就占据主动
1'曼联后场拿球传递给左路                   1'曼联第1分钟就占据主动
2'费莱尼脚后跟传球出了边线                   1'曼联第1分钟就占据主动
3'阿什利扬左路拿球传递                   1'曼联第1分钟就占据主动
3'曼联前场任意球                   1'曼联第1分钟就占据主动
3'马塔主罚到中路                   1'曼联第1分钟就占据主动
3'第一点被对方顶出                   1'曼联第1分钟就占据主动
16'斯托克城反击，阿萨迪内切后横向带球                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
16'再会敲，斯托克城今天并不急于进攻                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
16'双方进攻节奏都很慢                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
17'范佩西前场反抢，禁区内无人防守横穿给中路的埃雷拉，埃雷拉中路的打门竟然打高了                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
18'瓦伦西亚再次前场反抢成功，但是被对手又断下了                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
18'斯托克城右边路配合，威尔逊回撤到后场防守                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
19'曼城反击，威尔逊左路拿球                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
19'斯托克城多名球员回防，曼联没有机会                   16'曼联第16分钟挥霍良机，贝戈维奇传球失误被范佩西拦截，荷兰人禁区右侧无私回传，但埃雷拉15码处面对空门射高
30'阿什利扬左路拿球会敲                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
30'阿什利扬左路传球到禁区，威尔逊拿球摔倒了，但是裁判没有表示                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
31'斯托克城获得机会，博扬的推射没有推进                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
33'威尔逊又活动到了右路                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
33'弗格森今天也来到了老特拉福德                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
33'范佩西右路拿球没有机会，转移到了左边                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
33'曼联再起高球，被贝戈维奇收下                   30'第30分钟，詹姆斯-威尔逊禁区内在肖克罗斯防守下摔倒，裁判莫斯拒绝判罚点球
57'费莱尼右路接球，给瓦伦西亚                   54'第54分钟，范佩西拼抢中踩伤皮特斯脚踝，裁判吹停比赛引来球迷嘘声
57'曼城现在办法不多                   54'第54分钟，范佩西拼抢中踩伤皮特斯脚踝，裁判吹停比赛引来球迷嘘声
57'法尔考已经开始热身了                   54'第54分钟，范佩西拼抢中踩伤皮特斯脚踝，裁判吹停比赛引来球迷嘘声
70'威尔逊快速突破被对方战术犯规                   70'第70分钟，马塔传球，詹姆斯-威尔逊人球分过马尔科-威尔逊，但禁区边缘内射门偏出右下角
72'曼联后场拿球给门将                   70'第70分钟，马塔传球，詹姆斯-威尔逊人球分过马尔科-威尔逊，但禁区边缘内射门偏出右下角
72'斯托克城中场断球给右路，曼联再反抢成功                   70'第70分钟，马塔传球，詹姆斯-威尔逊人球分过马尔科-威尔逊，但禁区边缘内射门偏出右下角
73'范佩西小角度打门，角度太小了                   70'第70分钟，马塔传球，詹姆斯-威尔逊人球分过马尔科-威尔逊，但禁区边缘内射门偏出右下角
93'最后时刻，斯托克城的反击屡屡制造威胁                   93'斯托克城伤停补时险些扳平比分，第93分钟，博扬任意球传中，巴德斯利头球摆渡，迪乌夫小禁区左侧冲顶被德赫亚神勇扑出
93'德赫亚在门线连续两次化解威胁                   93'斯托克城伤停补时险些扳平比分，第93分钟，博扬任意球传中，巴德斯利头球摆渡，迪乌夫小禁区左侧冲顶被德赫亚神勇扑出
93'德赫亚立功了                   93'斯托克城伤停补时险些扳平比分，第93分钟，博扬任意球传中，巴德斯利头球摆渡，迪乌夫小禁区左侧冲顶被德赫亚神勇扑出
