18'锡耶纳球员菲利佩犯规,致使对方获得点球.                   16'第16分钟，帕斯夸尔左路传中，托尼后点头槌首开纪录
18'点球,托尼在禁区内被侵犯,佛罗伦萨获得点球.                   16'第16分钟，帕斯夸尔左路传中，托尼后点头槌首开纪录
18'黄牌！锡耶纳球员菲利佩因为恶意犯规,被主裁判出示黄牌.                   16'第16分钟，帕斯夸尔左路传中，托尼后点头槌首开纪录
18'进球啦！！！佛罗伦萨球员皮萨罗右脚射门,球从右下角飞进球门,球进了! 佛罗伦萨 2-0 锡耶纳.                   16'第16分钟，帕斯夸尔左路传中，托尼后点头槌首开纪录
19'锡耶纳换人,塞斯图上,安杰洛因伤下场.                   16'第16分钟，帕斯夸尔左路传中，托尼后点头槌首开纪录
70'佛罗伦萨球员利亚马大禁区外左脚射门,被防守球员封堵.                   70'客队第70分钟追回一分，罗西纳反击直传，雷吉纳尔多抽射入近角，1比3
70'进球啦！！！锡耶纳球员雷吉纳尔多大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是罗西纳. 佛罗伦萨 3-1 锡耶纳.                   70'客队第70分钟追回一分，罗西纳反击直传，雷吉纳尔多抽射入近角，1比3
72'佛罗伦萨换人,米利亚乔换下皮萨罗                   70'客队第70分钟追回一分，罗西纳反击直传，雷吉纳尔多抽射入近角，1比3
87'锡耶纳球员帕齐犯规,致使对方获得点球.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
87'点球,哈姆达维在禁区内被侵犯,佛罗伦萨获得点球.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
87'锡耶纳球员帕齐因为恶意犯规,被裁判出示了第二张黄牌.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
88'点球！佛罗伦萨球员阿奎拉尼右脚射门,可惜皮球稍稍高出球门.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
89'佛罗伦萨球员哈姆达维大禁区中央尝试头球,可惜皮球高出球门.给他传球的是罗慕洛.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
90'+2'佛罗伦萨球员托尼大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是哈姆达维.                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
90'+3'下半场结束,佛罗伦萨 4-1 锡耶纳                   87'第87分钟，帕奇拉倒替补前锋哈姆达维，累计2张黄牌被罚下，阿奎拉尼主罚点球抽射打飞
