33'安德烈-科苏将球处理出底线,桑普多利亚获得角球.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
33'进球啦！！！桑普多利亚球员德西尔维斯特里大禁区中央头球,球从右上角飞进球门,球进了!助攻的是L-穆里尔. 桑普多利亚 1-0 卡利亚里.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
35'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
35'德西尔维斯特里为桑普多利亚赢得一个任意球.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
35'卡利亚里球员埃夫勒被主裁判出示了一张黄牌.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
35'隆戈为卡利亚里赢得一个任意球.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
35'桑普多利亚球员西尔维斯特雷拼抢犯规,对手获得控球权.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
36'射门!!!桑普多利亚球员Pedro Obiang大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是埃托奥.                   33'第33分钟，穆列尔开出角球，德西尔维斯特里头球破门
74'姆博库为卡利亚里赢得一个任意球.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
74'桑普多利亚球员德西尔维斯特里拼抢犯规,对手获得控球权.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
74'隆戈为卡利亚里在对方半场,赢得一个任意球.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
74'桑普多利亚球员罗马尼奥利拼抢犯规,对手获得控球权.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
75'卡利亚里球员马克-苏拼抢犯规,对手获得控球权.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
75'帕隆博为桑普多利亚赢得一个任意球.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
76'克里塞蒂格为卡利亚里在对方半场,赢得一个任意球.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
76'桑普多利亚球员奥卡卡拼抢犯规,对手获得控球权.                   73'第73分钟，西尔维斯特雷右侧传中，埃托奥前点停球距门10米处转身小角度抽射挂网，2比0，这是他2011年5月15日以来意甲首球，他到场边举起记者相机做出拍摄动作，此前他给对方门将布尔基奇系鞋带的举动赢得赞誉
