2'阿森纳在左边路控球，罗西基和桑切斯配合，球被对方碰出界外                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
2'但裁判把球判给了客队                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
2'阿森纳后场断球，在左边路直塞交给蒙雷亚尔                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
3'蒙雷亚尔短传交到禁区角上的桑切斯                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
3'桑切斯拿球领过一个角度，兜射远角，球被门将飞身扑出底线，角球                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
5'阿森纳在和斯托克城的历史对阵中完全占优                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
5'相比今天阿森纳拿到3分应该问题不大                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
20'卡索拉角球传到门前，球被惠兰头球解围                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
20'张伯伦中场拿球，一脚直传球，边路的卡索拉近乎单刀，突入禁区回敲被后卫破坏                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
21'阿森纳禁区外继续控球，桑切斯带球到禁区内左侧，横敲到中路，吉鲁的抽射又被门将飞身扑出！！                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
21'这个机会真是黄金机会啊！！                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
21'吉鲁也是因为此前的红牌停赛刚刚回归                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
22'上半场20分钟过了，阿森纳暂时1-0领先                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
23'卡索拉中场拿球正在寻找队友，稍有犹豫，球被身后的防守球员捅走                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
23'罗西基也是前场滑铲被吹了犯规                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
23'吉鲁回追逼抢博扬，被吹了犯规                   20'第20分钟，桑切斯传球，吉鲁禁区边缘劲射被扑出
29'禁区外阿森纳继续控球，在传禁区还是被克劳奇头球解围                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
29'桑切斯左边路带球突破被沃尔沙伊德推倒，裁判没有吹罚！                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
