4'西布朗前场进攻，中路直塞球到禁区                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
4'德赫亚出击将球大脚解围                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
5'曼联前场进攻，右路的传中被西布朗球员解围                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
6'西布朗的前场进攻，中路直赛找肖恩-朗                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
6'斯马林回防，在肖恩-朗之前放铲                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
6'球直接出了底线，裁判给了曼联门球                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
7'慢镜头显示，斯马林的放铲并没有碰到球，判罚很准确                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
7'维迪奇右路拿球，禁区端线的起球，打在里奇维尔身上出底线                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
7'曼联获得右侧角球机会                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
9'维尔贝克前场逼抢，将球碰出边线                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
9'进球啦                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
10'西布朗的乌龙~~~~~~~~                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
10'进球的是西布朗的麦考利                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
11'香川真司禁区外和阿什利-扬的踢墙2过2，西布朗后卫解围踢空，阿什利-扬左侧拿球，横传门前，麦考利解围将球挡进自己大门                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
12'曼联取得了完美开局，运气不错啊                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
12'西布朗前场传球失误，克莱维利的抢断                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
12'曼联中场过顶球找维尔贝克，塔马斯将球解围出边线                   9'曼联第9分钟取得领先，阿什利-扬同香川真司踢墙配合后突入禁区左侧传中，皮球被麦考利在前点挡入自家大门
18'斯马林面对肖恩-朗的上抢，将球回敲给到德赫亚                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
18'曼联前场进攻，维尔贝克禁区内的侧身抽射，福斯特将球没收                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
19'同时进行的曼城和诺维奇的比赛中，目前已经打进3球，曼城2-1领先                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
19'香川真司禁区右侧拿球，挑传打在后卫身上出底线                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
19'曼联又获得了右侧角球机会，阿什利杨主罚                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
20'阿什利扬角球开到后点，克莱维利并未拿到                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
20'西布朗的罗森贝里回来将球拿到，克莱维利上来直接将球铲出边线                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
21'克莱维利的放铲，也是迎来现场球迷的一片掌声                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
21'曼联中场直传，维尔贝克背身拿球                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
21'可惜停球不好，维尔贝克在调整，手球啦                   18'第18分钟，维尔贝克禁区内的射门被前曼联门将福斯特救下
33'漂亮啊，阿什利杨，差之毫厘哦                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
33'福斯特立功了                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
33'瓦伦西亚右路拿球下底传中到中路，阿什利扬包抄，无人防守，右脚怒射，福斯特单拳托出横梁                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
34'曼联获得了左侧角球机会，阿什利扬主罚                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
34'角球开到出到禁区，混战中维迪奇的打门，又被福斯特奋力扑出                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
35'福斯特连续两次做出世界级的扑救，不容易啊                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
35'西布朗主帅坐在替补席，爬在前排的凳子靠背观察着场上形势                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
36'这个造型有点小学生认真听课的意思，相当滑稽                   33'第33分钟，香川真司直传，瓦伦西亚传中偏转，阿什利-扬16码处半凌空抽射被福斯特奋勇扑出
49'瓦伦西亚拿到，禁区线上后脚后跟过度给到克莱维利                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
49'克莱维利下底传中，被后卫挡出边线                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
49'香川真司禁区内拿球，右脚的抽射，被后卫挡出                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
49'球还在曼联球员脚下，卡里克拿球过度给到埃弗拉                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
50'埃弗拉面对西布朗球员的上抢，回敲给到埃文斯                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
