8'尤文右路的突破起球，利希施泰纳速度非常快，中路佩雷拉的倒钩射门没有打上力量。                   7'开场7分钟，利希施泰纳右路变线过人传中，佩雷拉前点距门8米处倒钩偏出近门柱
8'利希施泰纳的状态看样子挺不错的。                   7'开场7分钟，利希施泰纳右路变线过人传中，佩雷拉前点距门8米处倒钩偏出近门柱
10'尤文的攻势挺猛的啊，中路远射被米兰特扑了一下，左路的博格巴插上再传，终于是被阿夸给断了。                   7'开场7分钟，利希施泰纳右路变线过人传中，佩雷拉前点距门8米处倒钩偏出近门柱
10'刚才是马尔基西奥的远射，他的射门欲望，一直非常强。                   7'开场7分钟，利希施泰纳右路变线过人传中，佩雷拉前点距门8米处倒钩偏出近门柱
23'帕尔马终于到了对手的禁区，但是格扎尔的射门飞向了看台。                   23'尤文第23分钟取得领先
23'尤文图斯进球了！！                   23'尤文第23分钟取得领先
23'略伦特的补射得分！                   23'尤文第23分钟取得领先
24'博格巴外围大力打门造成门将脱手，略伦特跟上一个搓射把球打进，非常的聪明啊！                   23'尤文第23分钟取得领先
25'比赛进行到25分钟了。                   23'尤文第23分钟取得领先
26'帕尔马的反击，右路空了，但是直接打门被博格巴挡了出去。                   23'尤文第23分钟取得领先
27'帕尔马外围一脚质量很高的远射，但是布冯注意力非常集中！                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
28'毛里的打门，但是帕尔马这边没有补射的球员。                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
28'帕尔马在丢球之后明显加强了进攻，效果也还不错。                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
29'尤文又进球了！                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
29'利希施泰纳的远射！                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
30'这个球利希施泰纳打了一个绝对的死角啊！                   27'第27分钟，卡萨诺传球，何塞-毛里在门前25米处突施冷箭被布冯封出右门柱
36'3比0！这个球进的太轻松了！                   36'第36分钟，马尔基西奥分球，利希施泰纳禁区右侧没有射门，而是挑传另一侧，略伦特在门前9米处推入近角，3比0
37'利希施泰纳右路拿球很大的空挡，从容的给到略伦特，略伦特轻轻一推就进了。                   36'第36分钟，马尔基西奥分球，利希施泰纳禁区右侧没有射门，而是挑传另一侧，略伦特在门前9米处推入近角，3比0
37'今天的比赛有点一边倒了，对于帕尔马来说有点惨。                   36'第36分钟，马尔基西奥分球，利希施泰纳禁区右侧没有射门，而是挑传另一侧，略伦特在门前9米处推入近角，3比0
50'尤文的右路进攻，但是对方的防守还是很到位。                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
50'特维斯千里走单骑！！                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
50'这个球太漂亮了！！                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
51'特维斯从后场带球连续利用速度和变向过了三名球员，然后轻巧的推射，米兰特没有反应！                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
51'太漂亮了！                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
