1'比赛开始了，利物浦开球                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
1'利物浦从画面右侧向左侧进攻，曼城反之                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
1'拉拉纳回敲给到马蒂普，长传到前场                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
1'奥塔门迪把球断下，分边给到丁丁                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
1'大范围的转移，右侧斯特林拿球，在给席尔瓦                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'右侧直塞，费尔南迪尼奥插上，低传中路                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'利物浦前点解围出去                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'费尔南迪尼奥界外球给出，席尔瓦接应，横敲                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'左侧克里希上来，在给身前阿圭罗                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'转身过来，左路找到萨内，在回敲克里希                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
2'在给中路跟进上来的奥塔门迪，低球斜传                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'右侧斯特林接球被吹了越位                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'后场米尼奥莱大力开起来                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'双方争顶下来，马内拼抢犯规                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'克里希横拨奥塔门迪，挑传向前，右侧找席尔瓦                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'席尔瓦停球出了边线                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
3'米尔纳得球，往前挑传被斯通斯断下                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
4'回敲给到卡巴列罗，在给斯通斯，长传起球                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
4'拉拉纳中圈附近把球拦截，带球一路杀向禁区，亚亚图雷回防把球解围                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
4'米尼奥莱后场拿球，在给身前马蒂普，右侧在给克莱因                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
4'带球前插，一个直塞打了提前量找到马内                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
4'马内突破被奥塔门迪放倒在地了                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
20'奥塔门迪后场护给卡巴列罗，在给到图雷                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
20'禁区外右侧斯通斯拿球，交给费尔南迪尼奥，低传斯特林                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
20'右侧突破，迅速向前倒地了，，裁判没表示                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'米尔纳界外球给到马内，接球倒地。。。裁判哨响，图雷的犯规                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'禁区外中路定位球，库鸟和米尔纳都在球前                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'库鸟定位球搓入禁区左侧                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'斯特林大脚解围出去                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'克拉万拿球，在给左侧米尔纳，身前直塞拉边的菲尔米诺                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
21'横拨给插上的詹，挑传到右侧被奥塔门迪断下                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
22'交给了图雷，一记过顶的长传。。给的稍微大了一些，被米尼奥莱没收                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
22'大脚放出来                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
22'费尔南迪尼奥碰出了边线                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
22'米尔纳左侧给到菲尔米诺，在传到禁区内，被斯通斯挡出                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
22'外围费尔南迪尼奥挑传给到席尔瓦，中路在给阿圭罗                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
23'左侧再找萨内，带球杀入禁区，，倒三角给到禁区中央                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
23'这球给的不错，席尔瓦跟上，，左脚拔腿就射，，放高了啊。。机会                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
23'米尼奥莱大脚开出                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
23'克里希左侧停球出了边线                   20'曼城第20分钟错过机会，萨内禁区左侧传中被卡巴列罗挡出，席尔瓦12码处第一时间凌空抽射高出
23'左侧再找萨内，带球杀入禁区，，倒三角给到禁区中央                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
23'这球给的不错，席尔瓦跟上，，左脚拔腿就射，，放高了啊。。机会                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
23'米尼奥莱大脚开出                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
23'克里希左侧停球出了边线                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
24'马蒂普后场给到克拉万，左侧在给米尔纳，交给身前                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
24'库鸟拿球转身被费尔南迪尼奥放倒                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
24'米尔纳左侧定位球开出，中间找维纳尔杜姆，在给到米尔纳                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
24'身前在给库鸟，图雷把球破坏出边线                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
