2'中场的争夺，申花的瓜林犯规                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
2'恒大后场控球，梅方长传上来                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
2'李建滨头球解围                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
2'高拉特跟进远射打偏了                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
3'画面见到前恒大球员秦升，今天是申花的后腰                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
3'耿晓峰门球长传打到对方禁区边缘，梅方判断有点失误，登巴巴差点断球                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
3'申花的左路角球机会                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
4'曹赟定角球传前点过不了郜林                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
4'阿兰接应时被柏佳骏摁倒                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
4'王上源长传找到阿兰，端给郜林                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
5'转移到左路，荣昊回做一下                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
5'冯潇霆分边左路，保利尼奥停球有点大，张璐将球解围出边线                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
5'冯潇霆的长传，李建滨头球顶到中场                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
9'黄博文的控球，高拉特接应直传交给阿兰                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
9'阿兰的推进被李运秋绊倒                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
9'恒大的一个中路偏左的任意球机会                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
10'黄博文任意球打门被人墙挡出                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
10'高拉特左路的盘带，秦升将球破坏出边线                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
11'郜林右路的护球，柏佳骏将球捅出边线                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
11'郜林右路下底传中，没有传起来被秦升解围                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
11'有一名申花球员受伤坐在地上，李运秋                   9'第9分钟阿兰左路进攻被李运秋拉倒，谭海划出的人墙距离明显没到9米15，黄博文任意球打在人墙里弹出
14'中场郑智放铲有点大，铲翻了莫雷诺                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
14'主裁判谭海黄牌警告郑智                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
15'耿晓峰开出任意球，张璐传中打在荣昊身上                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
15'申花的机会                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
16'瓜林头球顶向禁区，张璐飞身挑射打得稍稍高了                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
16'出击的曾诚撞到了冯潇霆                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
16'冯潇霆捂着脸痛苦倒地                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
16'没有问题，冯潇霆已经缓过来了                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
17'莫雷诺后场控球，黄博文抢球犯规                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
17'秦升长传上来，王上源头球顶出边线                   14'第14分钟李运秋右路传中，冯潇霆头球顶出禁区，瓜林在禁区外头球再顶进，张璐快速跟上，面对弃门出击的曾诚挑射稍稍高出
18'秦升界外球掷向禁区被梅方顶出来                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
18'申花前场左路的任意球机会                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
18'曹赟定传到后点，梅方将球蹭出底线                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
19'张璐角球发到禁区内，一翻争抢下来，秦升转身打门打高了                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
20'高拉特的控球，送一次直传，耿晓峰抢在黄博文之前将球解围                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
20'保利尼奥中场护球被秦升绊倒                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
21'保利尼奥挑，郜林回做，第二点的争夺郜林犯规                   18'第18分钟申花右路开出角球，张璐凌空抽射打疵，秦升接着挑射高出
26'保利尼奥的远射打在后卫身上                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
26'瓜林右路的突破，被郑智卡住身位，瓜林背后推人犯规                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
