5'今天带领巴萨的助理教练鲁拉                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
5'他在比拉诺瓦缺阵的两场比赛里面都带领巴萨赢了球                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
5'梅西禁区前转身摆脱了后卫                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
6'塞给边路的阿尔维斯，门前绝好的机会！                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
6'桑切斯居然让传中球从他脚边漏了过去                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
6'倒地铲射没打上                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
6'这球要是比利亚绝对搞定了                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
6'桑切斯~~~这个赛季只进了一个球                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
7'巴萨断球反击，佩德罗在右边路拿球                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
8'哈维斜传找桑切斯，被后卫先出一脚捅走了                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
8'阿尔维斯反抢的时候被吹了犯规                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
8'鲁卡维纳边路接应队友的传球，被吹了出界                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
8'不过慢动作来看这球很难说                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
14'巴伦奇亚加左路传中，马努乔~~后点头球攻门                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
14'差了一点，被阿尔巴用身体挡了                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
14'马努乔示意裁判手球！                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
14'不过慢动作来看球是打在了阿尔巴的胸膛上                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
15'蒂亚戈长传转一下，阿尔维斯没能停好                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
15'鲁卡维纳为球队制造了一个角球                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
16'传中到后点~头球给回来，马努乔~转身抽射！被吹了越位                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
16'佩德罗回传球被断了                   13'第13分钟，巴伦齐亚加左路传中，前曼联中锋马努乔头球攻门被阿尔巴挡出
26'梅西卷土重来~被拉倒了                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
26'裁判给了犯规的布埃诺一张黄牌                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'巴萨再次获得了定位球机会                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'这次比之前那个稍微还要远一点                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'应该会选择传中的                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'直接打门了~哈维！                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'球弹地之后擦着立柱飞出底线                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
27'游客7417: 貌似好久没看见皇家丫头了？她去哪里了？---非洲~                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
28'阿尔巴的传中球太靠近门前，被对方门将没收了                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
28'桑切斯被对方球员撞倒了                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
28'哈维想快速开球，被裁判哨音中断，重新罚定位球                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
29'梅西斜传桑切斯~                   26'第26分钟，布埃诺禁区前对梅西犯规被罚黄牌，哈维25码处任意球直接射门偏出右下角
46'奥斯卡在中场停球的时候手球了                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
46'巴萨长传进攻，佩刀处在了越位位置                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
47'回复下刚才问巴萨临时主教练的球迷~~~是鲁拉，巴萨的助教                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
