4'贝内文托球员莱蒂齐亚一脚直塞球给布里尼奥拉,但是边裁举旗显示后者已经越位.                   1'第1分钟，作客的贝内文托踢得更有自信，连续获得角球，国米传球失误太多
9'久姆希蒂将球处理出底线,国际米兰获得角球.                   9'下半时开始9分钟，国米首次迫使对方门将作出扑救，坎塞洛右路回传，贝西诺在门前25米处轰门被普乔尼击出
11'德安布罗西奥为国际米兰赢得一个任意球.                   9'下半时开始9分钟，国米首次迫使对方门将作出扑救，坎塞洛右路回传，贝西诺在门前25米处轰门被普乔尼击出
11'贝内文托球员布里尼奥拉拼抢犯规,对手获得控球权.                   9'下半时开始9分钟，国米首次迫使对方门将作出扑救，坎塞洛右路回传，贝西诺在门前25米处轰门被普乔尼击出
11'国际米兰球员拉菲尼亚一脚直塞球给坎德雷瓦,但是边裁举旗显示后者已经越位.                   9'下半时开始9分钟，国米首次迫使对方门将作出扑救，坎塞洛右路回传，贝西诺在门前25米处轰门被普乔尼击出
66'托斯卡将球处理出底线,国际米兰获得角球.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
66'贝内文托换人,德尔平托上,桑德罗因伤下场.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
66'进球啦！！！国际米兰球员什克里尼亚尔小禁区左侧头球,球从中路偏上飞进球门,球进了!助攻的是维奇诺. 国际米兰 1-0 贝内文托.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
68'贝内文托球员维奥拉拼抢犯规,对手获得控球权.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
68'埃德为国际米兰在对方半场,赢得一个任意球.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
68'黄牌！贝内文托球员维奥拉因为恶意犯规,被主裁判出示黄牌.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
69'进球啦！！！国际米兰球员拉诺齐亚大禁区中央头球,球从左下角飞进球门,球进了!助攻的是坎赛罗. 国际米兰 2-0 贝内文托.                   66'第66分钟，卡拉莫赢得角球，坎塞洛右侧开出，贝西诺头球蹭到后门柱，什克里尼亚尔在门前5米处冲顶破门，1比0
81'贝内文托球员维奥拉因为恶意犯规,被裁判出示了第二张黄牌.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
81'国际米兰换人,布罗佐维奇换下佩里西奇                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
82'贝内文托球员卡塔尔迪拼抢犯规,对手获得控球权.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
82'卡拉莫为国际米兰在右路,赢得一个任意球.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
83'萨尼亚为贝内文托赢得一个任意球.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
83'国际米兰球员坎德雷瓦拼抢犯规,对手获得控球权.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
84'国际米兰球员加格里亚迪尼大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   81'贝内文托第81分钟彻底丧失希望，队长维奥拉丢球后铲倒埃德尔，累计2张黄牌被罚下
