1'乌迪内主场黑白间条衫                   1'尤文身着蓝色球衣，第1分钟波澜不惊
1'尤文客场深色球衣                   1'尤文身着蓝色球衣，第1分钟波澜不惊
1'卡塞雷斯右路助攻，球出边线                   1'尤文身着蓝色球衣，第1分钟波澜不惊
2'泰罗左路拿球，和队友位置重叠了                   1'尤文身着蓝色球衣，第1分钟波澜不惊
2'佩雷拉解围不远，乌迪内前场拦截                   1'尤文身着蓝色球衣，第1分钟波澜不惊
3'球到后场，回传门将                   1'尤文身着蓝色球衣，第1分钟波澜不惊
3'停球有些托大，略伦特上抢，险些抓住机会                   1'尤文身着蓝色球衣，第1分钟波澜不惊
4'埃弗拉左路起球，利希施泰纳头球顶高                   1'尤文身着蓝色球衣，第1分钟波澜不惊
4'博格巴中场拿球，给皮尔洛分边                   1'尤文身着蓝色球衣，第1分钟波澜不惊
4'埃弗拉继续左路起球，第一点被解围                   1'尤文身着蓝色球衣，第1分钟波澜不惊
28'费尔南德斯中路带球，远射被布冯扑出！                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
28'角球去禁区外，远射被拦截                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
29'阿兰再抢，手球了                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
29'埃弗拉左路助攻，球出了底线                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
30'乌迪内后场起高球，基耶利尼头球回点布冯                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
30'基耶利尼直塞被拦截，自己把球反断                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
31'皮尔洛分右路，利希施泰纳没有传中机会                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
31'回敲，卡塞雷斯的传中被封堵                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
31'博格巴左路打球，被阿兰断球                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
31'博格巴左路上抢犯规                   28'尤文直至第28分钟才制造威胁，皮尔洛右侧开出角球，略伦特在门前8米处头球偏出右门角
57'席尔瓦左路起球，被挡出，角球                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
