52'继续来看比赛！                   50'但下半时开始仅5分钟，C罗进球了
53'洛卡特利后场中路拿球！                   50'但下半时开始仅5分钟，C罗进球了
53'洛卡特利带球过半场！                   50'但下半时开始仅5分钟，C罗进球了
53'洛卡特利低平球斜传！                   50'但下半时开始仅5分钟，C罗进球了
53'罗热里奥前场左路拿球！横敲！                   50'但下半时开始仅5分钟，C罗进球了
53'久里契奇拿球！给身前！                   50'但下半时开始仅5分钟，C罗进球了
53'洛卡特利拿球！选择回传！                   50'但下半时开始仅5分钟，C罗进球了
53'坎赛洛将球拦截了下来！                   50'但下半时开始仅5分钟，C罗进球了
66'继续来看比赛！                   65'C罗第65分钟又下一城
67'贝拉尔迪前场右路拿球！低平球前送！                   65'C罗第65分钟又下一城
67'坎赛洛将球给解围了出去！                   65'C罗第65分钟又下一城
67'费拉里中圈拿球！斜传！                   65'C罗第65分钟又下一城
67'邓肯前场左路拿球！横敲！                   65'C罗第65分钟又下一城
67'赫迪拉将球给解围了！                   65'C罗第65分钟又下一城
68'詹后场中路拿球！长传送出去！                   65'C罗第65分钟又下一城
68'科斯塔前场右路拿球！！                   65'C罗第65分钟又下一城
77'迪巴拉角球开到了禁区！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'孔西利轻舒猿臂！将球摘下！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'孔西利开球出来了！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'洛卡特利中路拿球！直塞送出去！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'利罗拉前场右路拿球！挑传！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'皮球被顶出边线了！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
77'萨索洛前场左路界外球扔出来了！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
78'布拉比亚禁区外围拿球！起脚传中！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
78'皮球飞出底线了啊！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'继续来看比赛！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'博努奇后场中路拿球！斜传！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'科斯塔拿球！低平球前送！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'迪巴拉拿球！斜传给右路！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'夸德拉多拿球！长传送到前场！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'C罗前场左路拿球！给身后！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'坎赛洛拿球回传！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
80'贝纳蒂亚拿球！给身前！                   77'C罗第77分钟又错过绝佳机会，尤文开出角球，道格拉斯-科斯塔右路左脚传中，后点无人盯防的C罗插上距门3米处凌空垫射偏出右门柱
46'布拉比亚中路拿球！低平球斜传！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'贝拉尔迪前场右路拿球！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'贝拉尔迪遭到逼抢！皮球出了边线！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'桑德罗后场界外球扔出来！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'马龙将球给破坏了！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'邓肯中圈拿到了皮球！横敲！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
46'费拉里拿球！斜传送出去！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
47'詹中圈断球！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
47'C罗前场右路拿球！起脚传中！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
47'皮球被挡出底线了！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
47'坎赛洛右路角球开出来！给禁区！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
47'皮球被解围了！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
