1'阿森纳率先中圈开球                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
1'左路的配合，被沃克破坏                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
2'球到禁区，被洛里没收                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
2'身后球找厄齐尔                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
2'球被出击的洛里没收                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
2'罗斯左路被贝莱林绊倒                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
3'万亚马中场拿球，分左路                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
3'罗斯传中去后点                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
3'沃克的头球高了                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
3'中场登贝莱拿球摆脱                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
3'球被破坏，热刺后场拿到                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
4'阿森纳前场逼抢                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
4'穆斯塔菲后场拿球，回敲门将                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
4'热刺后场险情，维默尔铲截桑切斯                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
4'险些形成单刀                   1'阿森纳第1分钟试图控制比赛，热刺则采取稳守反击策略应对
21'罗斯左路配合，被科克兰碰出边线                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
21'登贝莱左路接应，被顶防                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
22'右路埃里克森斜传禁区                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
22'凯恩头球蹭射偏出远门柱                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
23'罗斯斜传右路，沃克停球                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
23'球回到左侧，罗斯传中被头球解围                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
24'扎卡挑传身后，大了一点                   21'热刺第21分钟险些破门，埃里克森右路45度斜传，哈里-凯恩10码处冲顶，皮球擦左侧立柱偏出
39'阿森纳反击                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
39'沃尔科特插上直接让开角度，抽射中柱                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
39'补射的厄齐尔打高                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
40'阿森纳左路进攻再来                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
40'到底线前的回做被破坏                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
41'厄齐尔前场拼抢被绊倒                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
41'但是裁判吹了厄齐尔越位在先                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
41'凯恩右路横传被头球顶出                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
41'维尔通亨中路拿球，回敲                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
42'贝莱林右路助攻，内切之后被绊倒                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
42'阿森纳任意球开出                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
42'阿森纳进球了！！                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
42'热刺的乌龙！                   39'阿森纳第39分钟也浪费机会，扎卡直传，沃尔科特突破至禁区边缘的劲射打中右侧立柱弹回，厄齐尔禁区左侧14码处凌空扫射空门高出
51'点球！                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
51'裁判吹了点球，登贝莱被科斯切尔尼绊倒了                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
51'凯恩来罚                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
51'中路！进！                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
52'凯恩点球命中，阿森纳1-1被热刺追平                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
52'埃里克森分左路，罗斯拿球回敲                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
53'沃克右路横带，分左路大了                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
54'蒙雷亚尔左路传中，后点罗斯解围，角球                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
54'角球去前点被解围                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
54'扎卡禁区前拿球，远射打高                   51'热刺第51分钟扳平，登贝莱连过科奎林和蒙雷亚尔后在禁区边缘内被科斯切尔尼绊倒，哈里-凯恩射入点球，1-1
84'任意球去门前，没有碰到，远端中立柱                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
84'热刺连续补射没打上                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
85'罗斯左路上抢，张伯伦犯规                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
86'桑切斯左路连续晃动，拉开角度传中去后点                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
86'维尔通亨头球解围出去                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
87'贝莱林右路助攻，被顶防                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
87'桑切斯推入禁区，维默尔先解围                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
87'阿森纳角球被顶出去                   84'热刺第84分钟险些破门，埃里克森左路传中，皮球弹地后击中远角立柱弹回
