7'马塞洛后场拿球，面对逼抢，外脚背一扣，摆脱啦                   7'第7分钟，因苏亚传球，前切尔西边锋卡库塔禁区前射门偏出
56'克罗斯左路拿球，横传球到后点，贝尔拍马赶到，倒地铲射，破门得分                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
56'上半场开场10分钟，皇马已经取得领先                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
56'巴列卡诺右路的传中球，纳瓦斯出击直接将球拿到                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
54'纳乔前场右路拿球，强突后倒三角回传给到莫德里奇                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
54'莫德里奇跟进直接起脚抽射，打飞啦                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
55'马塞洛中场抢断，过度给到克罗斯                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
55'克罗斯的斜塞找回撤接应的本泽马，被断啦                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
55'巴列卡诺的反击，莱奥前插接应，准备打门，越位在先                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
55'3-1！！！                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
56'克罗斯，禁区外的低射打进！！！                   53'第53分钟，贝尔传球偏转，摩德里奇禁区右侧14码处劲射稍稍偏出右侧立柱
56'克罗斯左路拿球，横传球到后点，贝尔拍马赶到，倒地铲射，破门得分                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
56'上半场开场10分钟，皇马已经取得领先                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
56'巴列卡诺右路的传中球，纳瓦斯出击直接将球拿到                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
58'卡库塔左路拿球，面对纳乔，强突传中到禁区                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
58'第一点被皇马球员抢到，解围出来                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
58'莫德里奇拿球反击，斜传给到C罗                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
