2'萨索洛球员桑索拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念遭遇车祸去世的意丙裁判科洛西姆
2'利希施泰纳为尤文图斯赢得一个任意球.                   1'赛前默哀1分钟，悼念遭遇车祸去世的意丙裁判科洛西姆
39'射门!!!萨索洛球员桑索大禁区外右脚射门,被对方守门员横身扑出.                   38'第38分钟，博努奇后场传球被断，特维斯回防放倒扎扎，被黄牌警告
39'隆吉将球处理出底线,尤文图斯获得角球.                   38'第38分钟，博努奇后场传球被断，特维斯回防放倒扎扎，被黄牌警告
40'马纳内利将球处理出底线,尤文图斯获得角球.                   38'第38分钟，博努奇后场传球被断，特维斯回防放倒扎扎，被黄牌警告
41'扎乍为萨索洛赢得一个任意球.                   38'第38分钟，博努奇后场传球被断，特维斯回防放倒扎扎，被黄牌警告
41'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   38'第38分钟，博努奇后场传球被断，特维斯回防放倒扎扎，被黄牌警告
52'射门!!!尤文图斯球员博格巴大禁区左侧右脚射门,被对方守门员横身扑出.                   52'第52分钟，埃弗拉左路传中被破坏，博格巴在门前20米处低射被孔西利托出近门柱，这也是尤文此役首次打正
52'孔西利将球处理出底线,尤文图斯获得角球.                   52'第52分钟，埃弗拉左路传中被破坏，博格巴在门前20米处低射被孔西利托出近门柱，这也是尤文此役首次打正
53'尤文图斯球员莫拉塔大禁区右侧左脚射门,被防守球员封堵.                   52'第52分钟，埃弗拉左路传中被破坏，博格巴在门前20米处低射被孔西利托出近门柱，这也是尤文此役首次打正
53'隆吉将球处理出底线,尤文图斯获得角球.                   52'第52分钟，埃弗拉左路传中被破坏，博格巴在门前20米处低射被孔西利托出近门柱，这也是尤文此役首次打正
77'射门!!!尤文图斯球员洛伦特大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
78'福萨里科为萨索洛赢得一个任意球.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
78'尤文图斯球员博格巴危险动作,对手获得控球权.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
78'尤文图斯球员博格巴被主裁判出示了一张黄牌.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
79'萨索洛换人,基布萨换下布里吉                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
79'萨索洛球员福萨里科拼抢犯规,对手获得控球权.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
79'博格巴为尤文图斯赢得一个任意球.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
80'萨索洛球员马纳内利拼抢犯规,对手获得控球权.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
80'埃弗拉为尤文图斯在左路,赢得一个任意球.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
80'黄牌！萨索洛球员马纳内利因为恶意犯规,被主裁判出示黄牌.                   77'第77分钟，特维斯禁区左侧传中，略伦特在门前8米处倚人转身扫射没打上力量，孔西利将球没收
82'进球啦！！！尤文图斯球员博格巴大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是佩佩. 尤文图斯 1-0 萨索洛.                   82'第82分钟，尤文后场断球反击，佩佩右路突进斜传，博格巴停球距门20米处凌空爆射入右下角，1比0，这是他本赛季联赛第7球，队内仅次于特维斯
85'萨索洛换人,拉扎雷维奇换下米西罗利                   82'第82分钟，尤文后场断球反击，佩佩右路突进斜传，博格巴停球距门20米处凌空爆射入右下角，1比0，这是他本赛季联赛第7球，队内仅次于特维斯
85'佩鲁索为萨索洛赢得一个任意球.                   82'第82分钟，尤文后场断球反击，佩佩右路突进斜传，博格巴停球距门20米处凌空爆射入右下角，1比0，这是他本赛季联赛第7球，队内仅次于特维斯
85'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   82'第82分钟，尤文后场断球反击，佩佩右路突进斜传，博格巴停球距门20米处凌空爆射入右下角，1比0，这是他本赛季联赛第7球，队内仅次于特维斯
