1'上半场比赛开始                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
1'白衣白裤的皇马开球，从右向左进攻                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
1'马塞洛左路拿球，面对逼抢，回传给佩佩                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
2'皇马中场失误，莱万特的抢断反击                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
2'加西亚拿球强突，面对包夹，横切时卡瓦哈尔抢断                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
3'摩德里奇后场拿球，直接一脚直塞打身后给前插的C罗                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
3'C罗拿球进入禁区，面对马里诺，直接起脚打门，踢飞啦                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
4'这球C罗也有些不好意思，一笑而过                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
4'摩德里奇中场抢断，C罗拿球反击                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
4'C罗强突，禁区线上直接起脚打门，滑门而过，直接出了底线                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
4'这球C罗也有些不好意思，一笑而过                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
4'摩德里奇中场抢断，C罗拿球反击                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
4'C罗强突，禁区线上直接起脚打门，滑门而过，直接出了底线                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
5'C罗连续的两脚打门，都打在了门框范围外                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
6'J罗中场的直塞找右路前插的卡瓦哈尔                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
6'可惜卡瓦哈尔的停球没停好，直接被马里诺出击拿到                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
7'开局这段时间来看，莱万特中场基本拿不住球啊                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
7'皇马中场抢断，J罗的斜传转移找C罗                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
7'罗达斯上前一步，抢在C罗之前出脚将球解围                   4'第4分钟，摩德里奇反击直传，C罗变线突破夹防，右侧禁区边缘低射偏出远门柱
12'皇马转移球到右路，莫德里奇的直塞球到禁区找小豌豆                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
12'胡安弗兰放铲解围，将球铲出底线，顺势带倒了小豌豆                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
13'主裁判给了皇马点球！！！                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
13'C罗主罚，打进！！！                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
14'这个点球让莱万特主教练门迪利巴和莱万特球员都很不满啊                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
14'不过对于主裁判的判罚，他们也是无能为力哦                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
14'卡瓦哈尔右路拿球，横传交给莫德里奇                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
15'莫德里奇的横传交给克罗斯，克罗斯转移球到左侧给伊斯科                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
15'刚刚胡安弗兰禁区内送给皇马点球的同时，还被主裁判出示了黄牌警告！！！                   12'第12分钟，哈梅斯-罗德里格斯直传禁区右侧，埃尔南德斯被胡安弗兰铲倒，点球
25'C罗的任意球攻门，直接打在了人墙上宴会                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
25'莱万特后场抢断反击，右边路的横传球到禁区弧顶                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
26'马塞洛面对插上的迪奥普，一脚捅球解围，差点乌龙啊                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
26'莱万特获得右侧角球机会                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
26'角球开出到禁区，卡马拉沙的倒地扫射，被莫德里奇在门线上解围                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
28'莫德里奇中场拿球，过了中线被加维兰拉住不放啊                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
28'加维兰被主裁判出示黄牌警告！！！                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
28'上半场28分钟，莱万特已经三人身背黄牌，这也让现场的球迷嘘声不断啊                   25'第25分钟，马塞洛本方禁区前沿解围竟变成一脚推射，险些自摆乌龙，迪奥普右侧开出角球，卡马拉萨前点距门8米处凌空推射，守在右门柱边的摩德里奇将球破坏
36'皇马前场的进攻，莫德里奇禁区外的远射，被后卫挡出底线                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
36'皇马获得右侧角球机会，莫德里奇主罚                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
