9'进球啦！！！勒沃库森球员魏泽尔大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是Lucas Alario. 勒沃库森 1-0 多特蒙德.                   9'开场9分钟，阿拉里奥左路传中，魏泽后点距门19米处大力抽射入左下角，1比0
11'射门!!!多特蒙德球员普利西奇大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是罗伊斯.                   9'开场9分钟，阿拉里奥左路传中，魏泽后点距门19米处大力抽射入左下角，1比0
11'Lukás Hrádecky将球处理出底线,多特蒙德获得角球.                   9'开场9分钟，阿拉里奥左路传中，魏泽后点距门19米处大力抽射入左下角，1比0
12'魏泽尔将球处理出底线,多特蒙德获得角球.                   9'开场9分钟，阿拉里奥左路传中，魏泽后点距门19米处大力抽射入左下角，1比0
27'魏泽尔为勒沃库森赢得一个任意球.                   25'多特最后25分钟上演疯狂逆转
27'多特蒙德球员迪亚洛拼抢犯规,对手获得控球权.                   25'多特最后25分钟上演疯狂逆转
28'勒沃库森球员Lucas Alario拼抢犯规,对手获得控球权.                   25'多特最后25分钟上演疯狂逆转
28'扎加多为多特蒙德赢得一个任意球.                   25'多特最后25分钟上演疯狂逆转
49'拉斯-本德为勒沃库森赢得一个任意球.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
49'多特蒙德球员默罕默德-达胡德拼抢犯规,对手获得控球权.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
50'射门!!!勒沃库森球员布兰特大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是拉斯-本德.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
50'博尔基将球处理出底线,勒沃库森获得角球.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
52'文德尔将球处理出底线,多特蒙德获得角球.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
52'多特蒙德球员拉尔森大禁区中央右脚射门,被防守球员封堵.给他传球的是阿坎吉.                   49'4分钟后，刚出场的桑乔右路突破与罗伊斯连续踢墙配合，罗伊斯在门前11米处推进球门顶端，2比2
85'进球啦！！！多特蒙德球员阿尔卡塞尔球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是阿什拉夫-哈基米. 勒沃库森 2-3 多特蒙德.                   85'第85分钟，阿什拉夫右路送出地滚球，帕科在门前4米处铲进远角，将比分反超为3比2
87'桑乔将球处理出底线,勒沃库森获得角球.                   85'第85分钟，阿什拉夫右路送出地滚球，帕科在门前4米处铲进远角，将比分反超为3比2
87'勒沃库森球员耶德瓦奇大禁区外左脚射门,被防守球员封堵.                   85'第85分钟，阿什拉夫右路送出地滚球，帕科在门前4米处铲进远角，将比分反超为3比2
87'勒沃库森球员拜利大禁区左侧左脚射门,被防守球员封堵.                   85'第85分钟，阿什拉夫右路送出地滚球，帕科在门前4米处铲进远角，将比分反超为3比2
88'黄牌！勒沃库森球员文德尔因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，阿什拉夫右路送出地滚球，帕科在门前4米处铲进远角，将比分反超为3比2
