9'肖智前场停球，被罗森文放铲放翻在地！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
9'罗森文被主裁判出示了黄牌警告！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
9'这也是本赛季中超的第一张黄牌！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
9'富力前场中路的任意球机会！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
10'汪嵩任意球横传给到陈志钊，陈志钊拿球强突                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
10'姆比亚回防，身后绊倒了陈志钊，犯规！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
10'富力前场右路的任意球机会！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
11'富力进球啦！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
11'居吕姆的乌龙大礼啊！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
12'姜至鹏任意球斜传禁区，居吕姆头球解围，球打在其肩膀上弹进网窝！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
12'这球卢琳在其身旁的干扰很重要！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
17'热鸟拿球，分球给到姆比亚                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
17'姆比亚拿球反击，面对上抢，再给热鸟                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
17'热鸟停球一拨，被身后的斯文松放翻在地                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
18'开场16分钟，富力借助主场之利，和经验，占据了一定优势                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
19'姜宁左路拿球，横传中间给到罗森文                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
19'罗森文再分丁海峰，丁海峰的过顶球找热鸟                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
19'边裁举旗，热鸟越位在先！！                   16'第16分钟，卡库塔边路内切送出塞球，罗森文得球后转身射门，球被防守队员阻挡
25'热鸟右路拿球，强突遭遇夹击，回传丁海峰                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
25'丁海峰右路斜传球到禁区，董学升的头球，顶偏！！                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
26'富力前场再攻，右路斜传球到禁区，肖智头球                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
26'顶出反弹，偏出立柱出底线！！                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
27'丁海峰边路拿球，内切被绊倒                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
27'不过球在卡库塔脚下，有利原则                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
28'卡库塔拿球内切，再找热鸟，被后卫破坏                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
28'华夏界外球进场，董学升和卡库塔的配合                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
28'卢琳上抢，放倒了卡库塔，犯规！！                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
28'1-1！！                   25'第25分钟，热尔维尼奥边路与队友二过二配合，后者送出弧线球传中，董学升禁区内头球攻门偏出
28'卡库塔拿球内切，再找热鸟，被后卫破坏                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
28'华夏界外球进场，董学升和卡库塔的配合                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
28'卢琳上抢，放倒了卡库塔，犯规！！                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
28'1-1！！                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
29'居吕姆进球！！完成救赎！！                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
30'华夏任意球斜传球到禁区，居吕姆力压张贤秀头球攻门，顶进球门左下角！！                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
30'中超第一个乌龙和第一个进攻方进球，全部由居吕姆完成！！                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
31'姜宁左路拿球，内切遭遇夹击，回传罗森文                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
31'罗森文斜塞左边路给热鸟                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
31'热鸟边路强突，变向摆脱，下底传中到后点                   28'第28分钟，河北华夏幸福破门，姜宁任意球传中，居吕姆高高跃起甩头攻门顶入远角，场上比分变为1-1平
35'姆比亚后场过顶长传找前插的热鸟，热鸟停球一趟，单刀赴会，面对程月磊，左脚打近角，打在了边网上！！                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
36'热鸟显得很失望！！                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
36'卢琳右路的强突，被丁海峰破坏出边线                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
37'热鸟左路拿球，强突传中，被挡出底线                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
37'华夏获得左侧角球机会，姜宁主罚！！                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
37'姜宁短角球给打卡库塔，卡库塔再给姜宁                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
37'姜宁边路传中到禁区，第一点被富力球员解围                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
38'随着比赛的深入，华夏球员的个人能力得到体现，慢慢扭转着局势                   35'第35分钟，热尔维尼奥错失机会，华夏幸福中场长传，热尔维尼奥连停带过形成单刀，但是射近角擦立柱偏出
43'罗森文发界外球，主裁判认为其拖延时间！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
44'罗森文再被主裁判出示了黄牌警告，两黄变一红，罚出场外啦！！！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
