1'纳尔多将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，主场作战的沙尔克放低姿态，立足防守，压缩空间
2'纳尔多为沙尔克04赢得一个任意球.                   1'第1分钟，主场作战的沙尔克放低姿态，立足防守，压缩空间
2'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   1'第1分钟，主场作战的沙尔克放低姿态，立足防守，压缩空间
4'拜仁慕尼黑球员拉姆一脚直塞球给穆勒,但是边裁举旗显示后者已经越位.                   1'第1分钟，主场作战的沙尔克放低姿态，立足防守，压缩空间
56'射门!!!沙尔克04球员亨特拉尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是赫韦德斯.                   56'沙尔克第56分钟险些破门
74'拜仁慕尼黑球员莱万多夫斯基球门线跟前尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是阿拉巴.                   74'拜仁第74分钟错过良机，阿拉巴左路传中，穆勒前点踢空，莱万后点面对空门，在门前4米处半凌空撞射高出
75'沙尔克04球员赫韦德斯一脚直塞球给舒波-莫廷,但是边裁举旗显示后者已经越位.                   74'拜仁第74分钟错过良机，阿拉巴左路传中，穆勒前点踢空，莱万后点面对空门，在门前4米处半凌空撞射高出
76'沙尔克04球员拉赫曼-巴巴拼抢犯规,对手获得控球权.                   74'拜仁第74分钟错过良机，阿拉巴左路传中，穆勒前点踢空，莱万后点面对空门，在门前4米处半凌空撞射高出
76'基米希为拜仁慕尼黑在对方半场,赢得一个任意球.                   74'拜仁第74分钟错过良机，阿拉巴左路传中，穆勒前点踢空，莱万后点面对空门，在门前4米处半凌空撞射高出
77'拜仁慕尼黑球员拉姆大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是比达尔.                   74'拜仁第74分钟错过良机，阿拉巴左路传中，穆勒前点踢空，莱万后点面对空门，在门前4米处半凌空撞射高出
47'斯坦博里为沙尔克04在右路,赢得一个任意球.                   47'补时第2分钟，比达尔后场左路抢断戈雷茨卡发起反击，科斯塔传中，莱万带球突破吸引3人防守后无私分球，基米希禁区右侧距门9米处推进远角，2比0
47'拜仁慕尼黑球员雷纳托-桑切斯拼抢犯规,对手获得控球权.                   47'补时第2分钟，比达尔后场左路抢断戈雷茨卡发起反击，科斯塔传中，莱万带球突破吸引3人防守后无私分球，基米希禁区右侧距门9米处推进远角，2比0
48'沙尔克04球员纳尔多大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是科诺普扬卡.                   47'补时第2分钟，比达尔后场左路抢断戈雷茨卡发起反击，科斯塔传中，莱万带球突破吸引3人防守后无私分球，基米希禁区右侧距门9米处推进远角，2比0
48'沙尔克04球员纳尔多拼抢犯规,对手获得控球权.                   47'补时第2分钟，比达尔后场左路抢断戈雷茨卡发起反击，科斯塔传中，莱万带球突破吸引3人防守后无私分球，基米希禁区右侧距门9米处推进远角，2比0
48'蒂亚戈为拜仁慕尼黑赢得一个任意球.                   47'补时第2分钟，比达尔后场左路抢断戈雷茨卡发起反击，科斯塔传中，莱万带球突破吸引3人防守后无私分球，基米希禁区右侧距门9米处推进远角，2比0
