2'力帆左路分球力量小了，王燊超将球铲出边线                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
2'这个球裁判给了定位球                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
2'王栋任意球打到禁区，被顶出                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
3'费尔南多外围直接凌空打门高出                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
3'于海传球失误将球传出了边线                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
3'武磊左路挑球过人，阿杜阿将球踢出                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
4'上港获得第一个角球                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
4'孔卡开到禁区，吕文君顶了一下被阿杜阿踢出边线                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
4'孔卡转移到左路给到武磊                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
5'武磊回敲，王燊超传中被破坏                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
5'蔡惠康后场踢倒张晓彬犯规                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
7'力帆中场控球                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
8'孔卡给到左路武磊                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
8'武磊回敲，孔卡直接打门高出                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
9'费尔南多左路突破被踢出边线                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
10'于海分球给左路                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
10'武磊突破传球被挡出边线                   7'第7分钟孔卡中路分球到左路，武磊得球虚晃一下后再传给孔卡，但孔卡的怒射高出甚多
12'上港后场断球反击，孔卡分球右路，武磊突破到禁区右侧直接打门将球打进                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
12'上港取得美妙的开局                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
12'孔卡传球给到左路，吕文君给到吉安                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
13'上港连续的外围控球                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
13'费尔南多前场断球，长驱直入禁区左侧打门稍稍偏出                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
14'金周荣有点伤进行下治疗                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
14'上港后场大脚到前场被隋维杰控制住                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
15'刘宇右路突破被挡出边线                   12'第12分钟重庆队在中场附近发起快攻，费尔南多带到禁区附近左脚打远角稍稍偏出
24'进球了                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
