5'杨旭左路接球横突横传，被挡出底线！鲁能泰山队角球机会                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
5'蒙蒂略发角球                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
5'蒙蒂略发角球到禁区内，对方破坏出来、                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
6'鲁能泰山队右路再传球进攻，对方破坏                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
6'蒙蒂略右翼发角球到禁区内，李松益抢点头球顶门，高啦！！                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
7'杭州绿城队防守为主，伺机反击                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
8'后场杭州绿城队断球，从右路长传进攻，大了些                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
46'萨米尔右路横禁区，黄希扬抢点打门，偏出！                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'蒙蒂略右路强突下底横传，被挡出底线                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'角球机会                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
47'蒿俊闵发角球到禁区人，尤西雷头球顶门，偏出                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
47'上半场补时2分钟的时间已经到了                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
48'上半场比赛结束，鲁能泰山队凭借尤西雷的进球1-0领先杭州绿城队！                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'下半场比赛开始                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'鲁能泰山队换上了王永珀                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'换下了杨旭                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
46'杭州绿城队左路突破传球，被断                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
48'后场鲁能泰山队得球，长传进攻，被断                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
48'杭州绿城队左路进攻到中场，转移到右路进攻、                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
49'曹海青左路突破一脚打门，被挡出底线                   46'1分钟后，宋龙传中造成禁区混乱，刘彬彬挑传，佩莱侧身凌空抽射，球被邹德海没收
23'鲁能泰山队右路长传球，对方把球断下来                   21'第21分钟，杭州绿城赢得禁区外任意球机会，陈中流大力远射高出
23'刘彬彬右路横球，佩莱顶了一下，球到另一侧                   21'第21分钟，杭州绿城赢得禁区外任意球机会，陈中流大力远射高出
24'鲁能泰山队左路进攻，犯规                   21'第21分钟，杭州绿城赢得禁区外任意球机会，陈中流大力远射高出
24'杭州绿城队长传球到前场，对方顶回来                   21'第21分钟，杭州绿城赢得禁区外任意球机会，陈中流大力远射高出
30'后场鲁能泰山队断球，刘彬彬右路快速反击，横传到禁区内，蒙蒂略抢点打门！！！可惜啦！                   30'第30分钟，刘彬彬后场边路拿球长途奔袭杀到前场后送出弧线球传中，杨旭头球摆渡，蒙蒂略后插上胸部停球在对方干扰下射门偏出
