9'祖鲁图萨前场拿球，分球给孔查                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
9'孔查面对逼抢，回传被阿森西奥抢断                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
9'阿森西奥拿球反击，过了中线转移球找莫拉塔                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
10'被扎尔多上抢一步，成功拦截！！                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
10'皇家社会前场右路的转移球到左侧找孔查                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
10'孔查拿球变向强突，底线内切后横传门前                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
11'卡西利亚出击，倒地将球压在身下！！                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
40'2-0！！！                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
40'阿森西奥的进球！！                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
41'瓦拉内后场过顶长传打身后，阿森西奥前插拿球，进入禁区，面对身后追兵和出击的鲁利，挑射打进空门！                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
42'祖鲁图萨左路拿球，挑传中间找伊利亚拉门迪，科瓦契奇头球破坏                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
43'莫拉塔前场左路拿球，单挑冈萨雷斯                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
43'莫拉塔转身强突下底，冈萨雷斯放铲将球解围出底线！                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
43'皇马获得左侧角球机会                   40'皇马第40分钟扩大优势，瓦拉内后场右路长传，阿森西奥停球距门13米处左脚吊射入右下角，2比0，他成为2013年2月（莫拉塔）之后，西甲最年轻的皇马进球队员（20岁213天）
55'慢镜头回放显示，这球冈萨雷斯回防身后放铲，好像脚尖碰到了莫拉塔                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
55'皇马前场再攻，莫拉塔拿球强突，突入禁区打门被挡                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
