2'进球啦！！！阿森纳球员本特纳大禁区中央头球,球从左下角飞进球门,球进了!助攻的是詹金森. 阿森纳 1-0 胡尔城.
5'阿森纳球员卡索拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗西基.
6'阿森纳球员弗拉米尼大禁区外右脚射门,被防守球员封堵.给他传球的是卡索拉.
7'阿森纳球员弗拉米尼一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.
8'阿森纳球员拉姆塞大禁区外右脚射门,被防守球员封堵.给他传球的是本特纳.
9'艾莫哈马蒂将球处理出底线,阿森纳获得角球.
10'射门!!!阿森纳球员科斯切尔尼大禁区中央头球,被对方守门员横身扑出.给他传球的是默特萨克.
10'阿森纳球员拉姆塞球门线跟前右脚射门,被防守球员封堵.
11'布鲁斯将球处理出底线,阿森纳获得角球.
11'麦克格雷格将球处理出底线,阿森纳获得角球.
12'阿森纳球员科斯切尔尼大禁区中央尝试头球,可惜皮球高出球门.给他传球的是厄齐尔.
14'布鲁斯将球处理出底线,阿森纳获得角球.
14'射门!!!阿森纳球员厄齐尔大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是卡索拉.
16'菲格罗亚为胡尔城赢得一个任意球.
16'阿森纳球员罗西基拼抢犯规,对手获得控球权.
17'格拉汉姆为胡尔城赢得一个任意球.
17'阿森纳球员科斯切尔尼拼抢犯规,对手获得控球权.
25'菲格罗亚为胡尔城在对方半场,赢得一个任意球.
25'阿森纳球员本特纳拼抢犯规,对手获得控球权.
25'胡尔城球员梅勒一脚直塞球给萨格博,但是边裁举旗显示后者已经越位.
25'梅勒将球处理出底线,阿森纳获得角球.
26'阿森纳球员科斯切尔尼大禁区中央尝试右脚射门,可惜皮球偏出球门.
27'胡尔城球员菲格罗亚拼抢犯规,对手获得控球权.
27'厄齐尔为阿森纳在右路,赢得一个任意球.
27'阿森纳球员拉姆塞大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是罗西基.
29'射门!!!阿森纳球员拉姆塞大禁区外右脚射门,被对方守门员横身扑出.给他传球的是罗西基.
30'格拉汉姆为胡尔城在对方半场,赢得一个任意球.
30'阿森纳球员默特萨克拼抢犯规,对手获得控球权.
31'射门!!!胡尔城球员格拉汉姆大禁区右侧头球,被对方守门员横身扑出.
32'射门!!!阿森纳球员拉姆塞大禁区外右脚射门,被对方守门员横身扑出.
32'麦克格雷格将球处理出底线,阿森纳获得角球.
32'阿森纳球员默特萨克大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是厄齐尔.
37'阿森纳卡索拉受伤倒地,比赛暂停
37'暂停结束,球员们重新开始比赛.
40'科斯切尔尼将球处理出底线,胡尔城获得角球.
40'胡尔城球员切斯特球门线跟前尝试头球,可惜皮球偏出球门.给他传球的是霍德斯通.
42'萨格博为胡尔城在右路,赢得一个任意球.
42'阿森纳球员弗拉米尼拼抢犯规,对手获得控球权.
45'胡尔城球员霍德斯通大禁区外右脚射门,被防守球员封堵.给他传球的是菲格罗亚.
45'阿森纳球员厄齐尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是本特纳.
45'+2'上半场结束,阿森纳 1-0 胡尔城,稍事休息,我们一会来看看下半场两队的表现.
47'进球啦！！！阿森纳球员厄齐尔大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是拉姆塞. 阿森纳 2-0 胡尔城.
