53'姆博卡尼接应分左路的克鲁卡斯，传中有点大                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
53'右路带球赫尔城控球，斯诺德格拉斯脚后跟传球被拦截                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
53'亚亚图雷直传，席尔瓦斜塞到禁区左侧                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
53'德布劳内跟进传中被拦截                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
53'克里希左路插上来倒三角传球，德布劳内打近角击中了立柱                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
54'赫尔城的长传，姆博卡尼前场争球时犯规                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
54'斯特林远射打在对方脚                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
55'马绍尔的长传，斯诺德格拉斯头球后蹭出边线                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
56'曼城准备换上伊海亚纳乔                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
56'克鲁卡斯长传上来，斯特林交给诺利托                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
56'回给席尔瓦，直传给太大了                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
56'马绍尔长传上来，被顶一下                   53'曼城第53分钟险些破门，克里希传球，德布劳内禁区左侧的射门憾中近角立柱
72'斯特林突破加速内切，太快了，罗伯逊伸脚绊倒了斯特林                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
72'点球！                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
72'亚亚图雷准备主罚                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
73'亚亚图雷点球打门球进！                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
73'曼城终于打破了僵局！                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
73'亚亚图雷的打门力量很大，直挂球门右上角，门将也扑错方向                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
74'亚亚图雷是宝刀未老                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
74'赫尔城换人，22号亨里克森换下了14号利弗莫尔                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
75'德布劳内带球进了禁区，变向被拦截                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
75'席尔瓦第二点得球传中，打在道森身上出底线                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
75'席尔瓦传中，戴维斯头球解围                   72'曼城第72分钟打破僵局，斯特林禁区右侧内切被罗伯逊铲倒，亚亚-图雷主罚点球命中
94'进了禁区，假装内切突破往底线一扣然后小角度打门                   94'第94分钟，斯特林突入禁区左侧传中被库提斯-戴维斯挡入自家大门，3-0
94'球被戴维斯伸脚挡进了大门！                   94'第94分钟，斯特林突入禁区左侧传中被库提斯-戴维斯挡入自家大门，3-0
94'这球算是戴维斯的乌龙！                   94'第94分钟，斯特林突入禁区左侧传中被库提斯-戴维斯挡入自家大门，3-0
