8'王栋传球同样被拦截                   8'比赛进行8分钟后亿利就用胡人天换下U23球员杨立瑜
9'这边亿利换人了呀                   8'比赛进行8分钟后亿利就用胡人天换下U23球员杨立瑜
9'胡人天换下了杨立瑜                   8'比赛进行8分钟后亿利就用胡人天换下U23球员杨立瑜
10'这个换人调整，9分钟不到                   8'比赛进行8分钟后亿利就用胡人天换下U23球员杨立瑜
11'亿利中圈的传球被断                   8'比赛进行8分钟后亿利就用胡人天换下U23球员杨立瑜
16'伊德耶送出横传球，给到插上的惠家康，来一脚打门                   15'第15分钟，亿利形成快攻，惠家康左路内切攻门被杨智拦截
16'球被杨智没收                   15'第15分钟，亿利形成快攻，惠家康左路内切攻门被杨智拦截
17'伊尔马兹外围拿球，传球禁区，球被解围出来                   15'第15分钟，亿利形成快攻，惠家康左路内切攻门被杨智拦截
17'场上有人倒地了                   15'第15分钟，亿利形成快攻，惠家康左路内切攻门被杨智拦截
30'等下慢镜头回放                   30'第30分钟，国安取得入球：奥古斯托向左路分球，李磊稍作调整后传中，伊尔马兹在小禁区内头球破门
31'赵和靖送出直传球，边路李磊拿球，送出传中球，伊尔马兹禁区头球攻门得分                   30'第30分钟，国安取得入球：奥古斯托向左路分球，李磊稍作调整后传中，伊尔马兹在小禁区内头球破门
33'OK，继续看比赛把                   30'第30分钟，国安取得入球：奥古斯托向左路分球，李磊稍作调整后传中，伊尔马兹在小禁区内头球破门
48'张晓彬拿球传中，球被解围出来                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
49'李磊拿球传中，球被挡出了底线                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
49'国安角球机会                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
50'国安角球开出来                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
50'前点，球被防守球员用头顶出来                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
51'外围双方争抢                   48'第48分钟，国安U23球员巴顿在亿利禁区内持续强突，近门柱附近出球时被门将杨启鹏挡出底线
61'国安这边又进球了！！！！！！！！！！                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
61'2比0了                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
61'进球的是外援                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
61'奥古斯托                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
61'等下慢镜头回放                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
63'金泰延挑传禁区，巴顿禁区拿球，横传球，奥古斯托插上将球打进                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
63'国安2比0领先对手了                   60'第60分钟，国安将比分扩大：金泰延送出直塞，巴顿进入禁区右侧后稳健传中，奥古斯托包抄破门
71'胡人天的斜传球被拦截                   69'第69分钟，张晓彬斜传空档，伊尔马兹斜线攻门偏出远门柱
72'国安这边换人了，宋博轩上场，换下了金泰延                   69'第69分钟，张晓彬斜传空档，伊尔马兹斜线攻门偏出远门柱
83'郭浩边路拿球，起脚，传球中路，被解围出来                   83'第83分钟，替补出场的朴成在冲抢中踩踏了倒地的郭皓，裁判未予理会
85'胡人天拿球，带球突破，挑传禁区                   83'第83分钟，替补出场的朴成在冲抢中踩踏了倒地的郭皓，裁判未予理会
85'球被杨智没收                   83'第83分钟，替补出场的朴成在冲抢中踩踏了倒地的郭皓，裁判未予理会
86'索里亚诺禁区里的传球被拦截                   83'第83分钟，替补出场的朴成在冲抢中踩踏了倒地的郭皓，裁判未予理会
