2'水晶宫上来就发动攻势！杀到禁区内一脚打门，被库尔图瓦把球挡了出去。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
3'水晶宫的角球很有威胁，但是还是被后卫挡了出去。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
4'开场这两分钟节奏非常快啊。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
5'切尔西的进攻，AZP左路的横传被汉格兰德挡了出去。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
5'刚才坎贝尔的打门险些打破球门啊。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
13'坎贝尔的好机会啊！一个挑射稍稍高出，库尔图瓦的出击有点慢啊。                   11'第11分钟，卡希尔头球回传失误被拦截，坎贝尔小禁区左上角挑射稍稍高出
17'阿扎尔在中场很凶悍啊，把耶迪纳克撞倒了。                   17'第17分钟，雷米传球，威廉20码处劲射偏出
18'威廉的打门！皮球直奔右上角，小法的做球还是很舒服。                   17'第17分钟，雷米传球，威廉20码处劲射偏出
19'小法前场拿球在左路直接找后点的阿扎尔，打门被后卫挡了出去。                   17'第17分钟，雷米传球，威廉20码处劲射偏出
19'角球开出来头球被水晶宫后卫在门线上解围。                   17'第17分钟，雷米传球，威廉20码处劲射偏出
27'切尔西猛攻的同时也要注意后场的保护啊，今天水晶宫的防守很不错。                   27'第27分钟，特里飞铲坎贝尔侥幸逃脱处罚
28'阿扎尔突破到禁区里摔到了，但是裁判没有判点球。                   27'第27分钟，特里飞铲坎贝尔侥幸逃脱处罚
28'要知道刚才曼城和热刺的比赛有4个点球啊。                   27'第27分钟，特里飞铲坎贝尔侥幸逃脱处罚
30'凯利今天的表现不太好，刚才就是他被阿扎尔突破了，刚才的传中又没踢上。                   27'第27分钟，特里飞铲坎贝尔侥幸逃脱处罚
31'德拉尼铲倒了雷米，吃到了一张黄牌。                   31'第31分钟，奥斯卡传球，马蒂奇30码外远射高出
31'比赛进行了30分钟了，比分还是切尔西1比0领先。                   31'第31分钟，奥斯卡传球，马蒂奇30码外远射高出
33'马蒂奇一脚大力打门，送到了看台上。                   31'第31分钟，奥斯卡传球，马蒂奇30码外远射高出
34'现在切尔西也没有之前节奏那么快了。                   31'第31分钟，奥斯卡传球，马蒂奇30码外远射高出
40'上半场比赛进行了40分钟了。                   40'第40分钟，阿斯皮利奎塔飞铲杰迪纳克被红牌罚下
41'红牌！AZP直接吃到红牌！                   40'第40分钟，阿斯皮利奎塔飞铲杰迪纳克被红牌罚下
42'阿兹皮利奎塔直接飞铲耶迪纳克被红牌罚下，这会不会是一个转折点呢。                   40'第40分钟，阿斯皮利奎塔飞铲杰迪纳克被红牌罚下
42'切尔西马上换人了，威廉下场了，鲁伊兹上场。                   40'第40分钟，阿斯皮利奎塔飞铲杰迪纳克被红牌罚下
44'又一张红牌！这下是水晶宫了，德拉尼两黄变一红！                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
44'这下10人打10人了。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
