6'雷内前场断球，交给于汉超                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
6'于汉超下底传中，吉拉迪诺稍为跑过了一点                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
6'冯刚右路得球，交给阿甘                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
6'阿甘急停横传给汪嵩，汪嵩跑过了一点                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
7'但埃尔克森带球超支时自己滑倒了                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
7'于汉超右路得球，交给张琳芃                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
7'交给郑智转移到左路孙祥，孙祥的长传被石柯大脚破坏                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
7'阿甘带球过半场交给马塞纳                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
8'马塞纳回传力量小了，雷内将球抢断                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
8'范晓冬马上补防过来将球拦截出边线                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
8'孙祥左路得球，交给埃尔克森，埃尔克森回传给孙祥                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
9'孙祥尝试挑传到禁区，于汉超斜插上来差一点点没有拿到球                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
9'马塞纳左路得球，张琳芃紧跟不舍，雷内过来帮忙将球开出边线                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
11'埃尔克森回来拿球                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
