13'切塞纳球员加里塔诺拼抢犯规,对手获得控球权.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
13'埃尔纳内斯为国际米兰赢得一个任意球.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
13'黄牌！切塞纳球员加里塔诺因为恶意犯规,被主裁判出示黄牌.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
14'切塞纳球员Francesco Renzetti拼抢犯规,对手获得控球权.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
14'奥比为国际米兰在右路,赢得一个任意球.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
15'切塞纳球员Francesco Renzetti拼抢犯规,对手获得控球权.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
15'奥比为国际米兰在对方半场,赢得一个任意球.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
16'国际米兰球员埃尔纳内斯大禁区外右脚射门,被防守球员封堵.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
32'切塞纳换人,阿吉拉尔迪换下加里塔诺                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
32'进球啦！！！国际米兰球员伊卡尔迪右脚射门,球从左下角飞进球门,球进了! 切塞纳 0-1 国际米兰.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
33'久里奇为切塞纳在左路,赢得一个任意球.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
33'国际米兰球员坎帕尼亚罗拼抢犯规,对手获得控球权.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
34'切塞纳球员卡希奥尼大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是Francesco Renzetti.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
35'多多将球处理出底线,切塞纳获得角球.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
35'射门!!!切塞纳球员久里奇大禁区中央头球,被对方守门员横身扑出.给他传球的是Francesco Renzetti.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
35'切塞纳球员马里伦戈大禁区中央尝试右脚射门,可惜皮球高出球门.                   32'第32分钟，埃尔纳内斯传过顶球，帕拉西奥将球垫过出击的莱亚利，被对方扑倒在地，点球
