 随着主裁判一声哨响,上半场比赛开始.
1'多特蒙德球员阿尔卡塞尔大禁区外右脚射门,被防守球员封堵.给他传球的是维特塞尔.
2'John Brooks将球处理出底线,多特蒙德获得角球.
3'John Brooks将球处理出底线,多特蒙德获得角球.
4'多特蒙德球员扎加多大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是圭雷罗.
6'布雷卡洛将球处理出底线,多特蒙德获得角球.
7'埃尔维斯为沃尔夫斯堡赢得一个任意球.
7'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.
9'沃尔夫斯堡球员威廉姆大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是布雷卡洛.
10'射门!!!沃尔夫斯堡球员布雷卡洛大禁区外右脚射门,被对方守门员横身扑出.给他传球的是格哈特.
11'沃尔夫斯堡球员Wout Weghorst拼抢犯规,对手获得控球权.
11'圭雷罗为多特蒙德在左路,赢得一个任意球.
13'沃尔夫斯堡球员京切克一脚直塞球给Wout Weghorst,但是边裁举旗显示后者已经越位.
15'沃尔夫斯堡球员京切克大禁区外右脚射门,被防守球员封堵.给他传球的是威廉姆.
15'德莱尼将球处理出底线,沃尔夫斯堡获得角球.
15'桑乔将球处理出底线,沃尔夫斯堡获得角球.
16'沃尔夫斯堡球员阿诺尔德大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是布雷卡洛.
19'格哈特将球处理出底线,多特蒙德获得角球.
24'沃尔夫斯堡球员威廉姆一脚直塞球给Wout Weghorst,但是边裁举旗显示后者已经越位.
25'阿诺尔德为沃尔夫斯堡赢得一个任意球.
25'多特蒙德球员阿什拉夫-哈基米拼抢犯规,对手获得控球权.
27'多特蒙德球员德莱尼大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是桑乔.
27'进球啦！！！多特蒙德球员罗伊斯小禁区左侧头球,球从左下角飞进球门,球进了!助攻的是德莱尼. 沃尔夫斯堡 0-1 多特蒙德.
28'沃尔夫斯堡球员卡斯特尔斯一脚直塞球给Wout Weghorst,但是边裁举旗显示后者已经越位.
32'蒂塞兰将球处理出底线,多特蒙德获得角球.
33'鲁西永为沃尔夫斯堡赢得一个任意球.
33'多特蒙德球员扎加多拼抢犯规,对手获得控球权.
33'黄牌！多特蒙德球员扎加多因为恶意犯规,被主裁判出示黄牌.
33'埃尔维斯为沃尔夫斯堡在左路,赢得一个任意球.
33'多特蒙德球员德莱尼拼抢犯规,对手获得控球权.
33'黄牌！多特蒙德球员德莱尼因为恶意犯规,被主裁判出示黄牌.
36'桑乔将球处理出底线,沃尔夫斯堡获得角球.
36'沃尔夫斯堡球员埃尔维斯大禁区外左脚射门,被防守球员封堵.
37'格哈特将球处理出底线,多特蒙德获得角球.
38'多特蒙德球员阿坎吉一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.
40'沃尔夫斯堡球员布雷卡洛大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是鲁西永.
41'沃尔夫斯堡球员格哈特大禁区外左脚射门,被防守球员封堵.
44'鲁西永将球处理出底线,多特蒙德获得角球.
44'多特蒙德球员罗伊斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是桑乔.
44'埃尔维斯将球处理出底线,多特蒙德获得角球.
45'多特蒙德球员阿什拉夫-哈基米大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
45'+1'多特蒙德球员圭雷罗大禁区中央右脚射门,被防守球员封堵.给他传球的是阿尔卡塞尔.
45'+1'上半场结束,沃尔夫斯堡 0-1 多特蒙德,稍事休息,我们一会来看看下半场两队的表现.
 下半场比赛开始,沃尔夫斯堡 0-1 多特蒙德
47'格哈特为沃尔夫斯堡赢得一个任意球.
47'多特蒙德球员圭雷罗拼抢犯规,对手获得控球权.
49'沃尔夫斯堡球员威廉姆拼抢犯规,对手获得控球权.
49'罗伊斯为多特蒙德在左路,赢得一个任意球.
52'多特蒙德球员德莱尼大禁区右侧尝试右脚射门,可惜皮球高出球门.
54'扎加多将球处理出底线,沃尔夫斯堡获得角球.
54'射门!!!沃尔夫斯堡球员John Brooks球门线跟前头球,被对方守门员横身扑出.给他传球的是布雷卡洛.
54'多特蒙德球员桑乔大禁区右侧右脚射门,被防守球员封堵.给他传球的是维特塞尔.
54'阿诺尔德将球处理出底线,多特蒙德获得角球.
55'多特蒙德球员德莱尼手球犯规,对手获得球权.
57'沃尔夫斯堡球员威廉姆拼抢犯规,对手获得控球权.
57'圭雷罗为多特蒙德赢得一个任意球.
58'沃尔夫斯堡球员阿诺尔德尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是京切克.
59'威廉姆将球处理出底线,多特蒙德获得角球.
63'沃尔夫斯堡球员京切克手球犯规,对手获得球权.
64'京切克将球处理出底线,多特蒙德获得角球.
67'阿诺尔德将球处理出底线,多特蒙德获得角球.
69'沃尔夫斯堡换人,Renato Steffen换下埃尔维斯
70'沃尔夫斯堡球员阿诺尔德拼抢犯规,对手获得控球权.
70'罗伊斯为多特蒙德在右路,赢得一个任意球.
71'布雷卡洛为沃尔夫斯堡在左路,赢得一个任意球.
71'多特蒙德球员阿什拉夫-哈基米拼抢犯规,对手获得控球权.
72'射门!!!沃尔夫斯堡球员Renato Steffen大禁区外左脚射门,被对方守门员横身扑出.
72'沃尔夫斯堡球员蒂塞兰大禁区右侧右脚射门,被防守球员封堵.
72'德莱尼将球处理出底线,沃尔夫斯堡获得角球.
74'威廉姆将球处理出底线,多特蒙德获得角球.
76'扎加多将球处理出底线,沃尔夫斯堡获得角球.
78'多特蒙德换人,普利西奇换下桑乔
78'多特蒙德换人,菲利普换下阿尔卡塞尔
79'多特蒙德球员拉尔森大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.
79'阿诺尔德为沃尔夫斯堡赢得一个任意球.
79'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.
80'沃尔夫斯堡球员格哈特大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是威廉姆.
81'沃尔夫斯堡换人,John Yeboah换下布雷卡洛
81'沃尔夫斯堡换人,马利换下格哈特
83'沃尔夫斯堡球员马利拼抢犯规,对手获得控球权.
83'维特塞尔为多特蒙德在对方半场,赢得一个任意球.
84'多特蒙德球员罗伊斯一脚直塞球给德莱尼,但是边裁举旗显示后者已经越位.
86'阿诺尔德为沃尔夫斯堡在右路,赢得一个任意球.
86'多特蒙德球员扎加多拼抢犯规,对手获得控球权.
88'威廉姆将球处理出底线,多特蒙德获得角球.
89'多特蒙德球员普利西奇大禁区中央左脚射门,被防守球员封堵.
89'多特蒙德球员菲利普大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.
90'多特蒙德换人,托普拉克换下拉尔森
90'+1'沃尔夫斯堡球员卡斯特尔斯一脚直塞球给Wout Weghorst,但是边裁举旗显示后者已经越位.
90'+3'沃尔夫斯堡球员威廉姆拼抢犯规,对手获得控球权.
90'+3'菲利普为多特蒙德在左路,赢得一个任意球.
90'+4'下半场结束,沃尔夫斯堡 0-1 多特蒙德
 全场比赛结束,沃尔夫斯堡 0-1 多特蒙德,谢谢各位收看新浪足球直播.
