3'切沃球员瓜纳拼抢犯规,对手获得控球权.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
3'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
4'黄牌！切沃球员瓜纳因为恶意犯规,被主裁判出示黄牌.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
5'切沃球员哈特马吉一脚直塞球给德拉梅,但是边裁举旗显示后者已经越位.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
6'尤文图斯球员洛伦特大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是奥邦纳.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
9'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   9'第9分钟，乔文科禁区左侧突破传中，比达尔后点头球顶回中路，略伦特转身扫射被抢先破坏，皮尔洛禁区边缘凌空补射打高
11'布冯将球处理出底线,切沃获得角球.                   9'第9分钟，乔文科禁区左侧突破传中，比达尔后点头球顶回中路，略伦特转身扫射被抢先破坏，皮尔洛禁区边缘凌空补射打高
17'进球啦！！！尤文图斯球员阿萨莫阿大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是洛伦特. 尤文图斯 1-0 切沃.                   17'尤文第17分钟取得领先
20'德拉梅为切沃赢得一个任意球.                   17'尤文第17分钟取得领先
20'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   17'尤文第17分钟取得领先
23'瓜纳为切沃赢得一个任意球.                   23'第23分钟，略伦特回抢推倒瓜纳，被黄牌警告
23'尤文图斯球员洛伦特拼抢犯规,对手获得控球权.                   23'第23分钟，略伦特回抢推倒瓜纳，被黄牌警告
23'黄牌！尤文图斯球员洛伦特因为恶意犯规,被主裁判出示黄牌.                   23'第23分钟，略伦特回抢推倒瓜纳，被黄牌警告
