5'博鲁茨将球处理出底线,曼联获得角球.                   5'第5分钟，鲁尼开出角球，斯莫林头球偏出
5'曼联球员斯莫林球门线跟前尝试头球,可惜皮球偏出球门.给他传球的是鲁尼.                   5'第5分钟，鲁尼开出角球，斯莫林头球偏出
8'进球啦！！！曼联球员鲁尼大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是香川慎司. 曼联 1-1 南安普敦.                   5'第5分钟，鲁尼开出角球，斯莫林头球偏出
10'曼联球员香川慎司大禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是鲁尼.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
11'曼联球员维迪奇一脚直塞球给香川慎司,但是边裁举旗显示后者已经越位.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
13'拉米雷斯为南安普敦在对方半场,赢得一个任意球.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
13'曼联球员卡里克拼抢犯规,对手获得控球权.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
13'南安普敦球员兰伯特大禁区外右脚射门,被防守球员封堵.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
13'香川慎司将球处理出底线,南安普敦获得角球.                   10'第10分钟，琼斯右路传中，鲁尼后点停球脚后跟磕给香川真司，香川在门前8米处左脚小角度推射击中近门柱外侧
22'曼联球员范佩西大禁区外左脚射门,被防守球员封堵.给他传球的是安德森.                   22'第22分钟，范佩西在门前22米处左脚抽射经过折射掠过横梁
22'吉田麻也将球处理出底线,曼联获得角球.                   22'第22分钟，范佩西在门前22米处左脚抽射经过折射掠过横梁
