3'广州富力队左路长传进攻                   3'开场3分钟，贵州人和错失得分机会
3'后场贵州人和队断球，右路长传，送到了对方门将手里                   3'开场3分钟，贵州人和错失得分机会
3'奥拉纳尔左路带球进攻，对方有犯规动作，但主裁判没有吹                   3'开场3分钟，贵州人和错失得分机会
4'贵州人和队长传球到禁区内，左路横传禁区，桑托斯推射击中立柱！！这太难了！                   3'开场3分钟，贵州人和错失得分机会
4'推空门啊，打不进比打进更难！打中立柱就是难上加难！但就打中立柱                   3'开场3分钟，贵州人和错失得分机会
5'博基拉左路带球进攻，王刚铲球犯规                   3'开场3分钟，贵州人和错失得分机会
5'博基拉受伤到场边治疗                   3'开场3分钟，贵州人和错失得分机会
6'贵州人和队左路长传前场，刘殿座出击把球没收                   3'开场3分钟，贵州人和错失得分机会
6'[互动话题]双方都非常重视本场比赛，大家预测一下哪支球队率先进球？A、人和 B、富力 C、0-0[qiangda]                   3'开场3分钟，贵州人和错失得分机会
10'汪嵩发角球到前点，对方顶得很高没能顶远，双方继续争顶，张烈没收                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
11'张烈大脚开球到前场，冯仁亮想打快攻，没能打成                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
12'博基拉中路带球强突，刘洋抢到球开出边线                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
12'姜至鹏发出界外球，贵州人和队断球右路反击                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
12'于洋在前场抢球犯规，放倒了陈昌源                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
13'广州富力队右路攻到前场，直传球没能过去，再传时汪嵩越位                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
13'贵州人和队左路斜传禁区，刘殿座没收                   10'第10分钟，广州富力获得角球机会，汪嵩弧线球传中，跟进球员头球攻门，防守队员门前一挡高出横梁
22'任意球发出来传禁区没能过去，贵州人和队断球反击                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
22'后场广州富力队断球右路长传，对方断球反击                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
22'贵州人和队漂亮的长传球，左路横传被破坏                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
23'饶伟辉在前场抢球出边线，广州富力队后场界外球                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
24'张烈大脚开球到前场，力量好大，直接送到了对方门脚脚下                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
24'刘殿座发球，广州富力队右睡进攻，对方在前场抢球犯规                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
24'张成林受伤倒在地上                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
25'任意球发出来，广州富力队长传球到禁区内，奥拉纳尔抢球犯规                   22'第22分钟，贵州人和获得角球机会，米西莫维奇送出精准传中，前点的冯仁亮头球攻门高出横梁
35'广州富力队右路斜传禁区，对方大脚破坏出来                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
35'广州富力队挑传球到禁区内，陈昌源绕到博基拉身前把球破坏                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
36'[互动话题]比赛已经进行到了36分钟，上半场能有进球吗？A、能 B、不能[qiangda]                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
36'广州富力队左路横传禁区，对方把球破坏出底线                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
36'汪嵩发角球到禁区内，张烈出击没能拿到球，还好后卫及时破坏                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
37'汪嵩在前场抢球犯规                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
37'任意球开到前场，于洋把球大脚解围                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
