15'阿尔梅罗为西汉姆联赢得一个任意球.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
15'阿森纳球员罗西基拼抢犯规,对手获得控球权.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
15'黄牌！阿森纳球员罗西基因为恶意犯规,被主裁判出示黄牌.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
16'西汉姆联球员安迪-卡罗尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是贾维斯.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
17'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
17'阿尔特塔为阿森纳赢得一个任意球.                   14'第14分钟，波多尔斯基左路传中，吉鲁近距离错过机会
19'西汉姆联球员迪亚姆大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是安迪-卡罗尔.                   19'西汉姆第19分钟错失良机，卡罗尔角球混战中禁区左侧传中，迪亚梅8码处左脚扫射高出
21'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   19'西汉姆第19分钟错失良机，卡罗尔角球混战中禁区左侧传中，迪亚梅8码处左脚扫射高出
21'默特萨克为阿森纳赢得一个任意球.                   19'西汉姆第19分钟错失良机，卡罗尔角球混战中禁区左侧传中，迪亚梅8码处左脚扫射高出
22'安迪-卡罗尔为西汉姆联在左路,赢得一个任意球.                   19'西汉姆第19分钟错失良机，卡罗尔角球混战中禁区左侧传中，迪亚梅8码处左脚扫射高出
22'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   19'西汉姆第19分钟错失良机，卡罗尔角球混战中禁区左侧传中，迪亚梅8码处左脚扫射高出
40'射门!!!西汉姆联球员诺切里诺球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是德梅尔.                   40'西汉姆第40分钟取得领先，德梅尔直传，诺切里诺切入禁区右侧小角度射门被斯泽斯尼扑出，贾维斯近距离头球破门
40'进球啦！！！西汉姆联球员贾维斯球门线跟前头球,球从右下角飞进球门,球进了! 阿森纳 0-1 西汉姆联.                   40'西汉姆第40分钟取得领先，德梅尔直传，诺切里诺切入禁区右侧小角度射门被斯泽斯尼扑出，贾维斯近距离头球破门
43'射门!!!阿森纳球员卡尔斯特罗姆大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是吉鲁.                   40'西汉姆第40分钟取得领先，德梅尔直传，诺切里诺切入禁区右侧小角度射门被斯泽斯尼扑出，贾维斯近距离头球破门
43'阿德里安将球处理出底线,阿森纳获得角球.                   40'西汉姆第40分钟取得领先，德梅尔直传，诺切里诺切入禁区右侧小角度射门被斯泽斯尼扑出，贾维斯近距离头球破门
43'阿森纳球员吉鲁大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是卡索拉.                   40'西汉姆第40分钟取得领先，德梅尔直传，诺切里诺切入禁区右侧小角度射门被斯泽斯尼扑出，贾维斯近距离头球破门
44'进球啦！！！阿森纳球员波多尔斯基大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是卡索拉. 阿森纳 1-1 西汉姆联.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
45'+1'西汉姆联球员德梅尔一脚直塞球给安迪-卡罗尔,但是边裁举旗显示后者已经越位.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
45'+2'阿森纳球员吉鲁大禁区右侧左脚射门,被防守球员封堵.给他传球的是阿尔特塔.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
45'+3'上半场结束,阿森纳 1-1 西汉姆联,稍事休息,我们一会来看看下半场两队的表现.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
46'阿森纳球员卡索拉一脚直塞球给吉鲁,但是边裁举旗显示后者已经越位.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
47'西汉姆联球员唐宁大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是德梅尔.                   44'阿森纳第44分钟扳平比分，卡索拉前场断球后直传，波多尔斯基禁区左肋10码处低射远角入网，1-1
47'西汉姆联球员唐宁大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是德梅尔.                   47'第47分钟，德梅尔传球，唐宁禁区右侧的射门偏出近角
49'西汉姆联球员迪亚姆大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是诺布尔.                   47'第47分钟，德梅尔传球，唐宁禁区右侧的射门偏出近角
55'进球啦！！！阿森纳球员吉鲁小禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是维尔马伦. 阿森纳 2-1 西汉姆联.                   55'阿森纳第55分钟反超比分，维尔马伦长传，吉鲁小禁区右侧低射破门，2-1
56'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   55'阿森纳第55分钟反超比分，维尔马伦长传，吉鲁小禁区右侧低射破门，2-1
56'默特萨克为阿森纳赢得一个任意球.                   55'阿森纳第55分钟反超比分，维尔马伦长传，吉鲁小禁区右侧低射破门，2-1
57'西汉姆联球员雷德拼抢犯规,对手获得控球权.                   55'阿森纳第55分钟反超比分，维尔马伦长传，吉鲁小禁区右侧低射破门，2-1
57'吉鲁为阿森纳在右路,赢得一个任意球.                   55'阿森纳第55分钟反超比分，维尔马伦长传，吉鲁小禁区右侧低射破门，2-1
66'诺切里诺为西汉姆联赢得一个任意球.                   66'第66分钟，诺切里诺传中，卡罗尔头球攻门偏出
66'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   66'第66分钟，诺切里诺传中，卡罗尔头球攻门偏出
66'西汉姆联球员安迪-卡罗尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是诺切里诺.                   66'第66分钟，诺切里诺传中，卡罗尔头球攻门偏出
67'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   66'第66分钟，诺切里诺传中，卡罗尔头球攻门偏出
67'默特萨克为阿森纳在对方半场,赢得一个任意球.                   66'第66分钟，诺切里诺传中，卡罗尔头球攻门偏出
76'阿森纳球员拉姆塞大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是吉鲁.                   76'第76分钟，吉鲁传球，刚刚换下罗西基的拉姆塞禁区前射偏
78'进球啦！！！阿森纳球员波多尔斯基大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是拉姆塞. 阿森纳 3-1 西汉姆联.                   76'第76分钟，吉鲁传球，刚刚换下罗西基的拉姆塞禁区前射偏
78'西汉姆联换人,瓦斯特换下贾维斯                   76'第76分钟，吉鲁传球，刚刚换下罗西基的拉姆塞禁区前射偏
78'西汉姆联换人,乔-科尔换下唐宁                   76'第76分钟，吉鲁传球，刚刚换下罗西基的拉姆塞禁区前射偏
79'西汉姆联球员迪亚姆一脚直塞球给瓦斯特,但是边裁举旗显示后者已经越位.                   76'第76分钟，吉鲁传球，刚刚换下罗西基的拉姆塞禁区前射偏
