4'穆里略斜传，，右侧再给维佐                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
4'短传向前渗透，被皮亚尼奇拦截                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
4'向前，找到C罗，，突破向前，，但是丢了                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
4'加布里埃尔回追，，断下，，长传                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
4'大禁区前沿，，基耶利尼拦截                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
4'向前，，格德斯反抢回来                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'和巴舒亚伊的配合，，禁区前沿再找格德斯                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'外围一脚爆射，，打飞                    4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'这球是蹭到了防守队员                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'瓦伦西亚右路的角球机会                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'开起来，，禁区中央，，，基耶利尼头球解围                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'外围右侧，，瓦斯拿球，，斜45度再起                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
5'禁区左侧加布里埃尔头球，偏出底线                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'瓦伦西亚后场控制，，，给左侧穆里略                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'斜传索莱尔，在回敲给加布里埃尔                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'分左侧加亚，，瓦斯回撤拿球                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'分左路，贝纳德斯基破坏出边线                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'加亚回敲给内托，，，大脚开出                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'巴舒亚伊抢下来，，斜传右路                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'索莱尔，再给瓦斯                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
6'长传转移，，左路加亚跟上                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
7'一扣，在给格德斯，，放慢节奏                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
7'回敲加布里埃尔，斜传右路索莱尔                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
7'转身在横敲，踢呲了，桑德罗把球断下                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
7'索莱尔回追防守，，犯规了                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
11'带球推进，，维佐把球捅出边线                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
11'桑德罗左侧边线球，给出来                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
11'博努奇斜传右路，，坎塞洛跟进                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
11'回敲博努奇，左侧给基耶利尼                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
