1'北京国安球员邵佳一拼抢犯规,对手获得控球权.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
1'卡巴耶罗为青岛中能在对方半场,赢得一个任意球.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
1'权磊为青岛中能赢得一个任意球.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
1'北京国安球员朴成拼抢犯规,对手获得控球权.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
1'黄牌！北京国安球员朴成因为恶意犯规,被主裁判出示黄牌.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
3'射门!!!青岛中能球员布鲁诺大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是姚江山.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
7'北京国安球员张稀哲拼抢犯规,对手获得控球权.                   7'第7分钟，沙一博前压为中能赢得前场右侧任意球；国安在化解对手冲击后由朴成传球策动快攻，乌塔卡左翼横传禁区，格隆小禁区线附近包抄攻门未打上力量，中能门将刘震理将球没收
7'沙一博为青岛中能在对方半场,赢得一个任意球.                   7'第7分钟，沙一博前压为中能赢得前场右侧任意球；国安在化解对手冲击后由朴成传球策动快攻，乌塔卡左翼横传禁区，格隆小禁区线附近包抄攻门未打上力量，中能门将刘震理将球没收
8'青岛中能沙一博受伤倒地,比赛暂停                   7'第7分钟，沙一博前压为中能赢得前场右侧任意球；国安在化解对手冲击后由朴成传球策动快攻，乌塔卡左翼横传禁区，格隆小禁区线附近包抄攻门未打上力量，中能门将刘震理将球没收
9'暂停结束,球员们重新开始比赛.                   7'第7分钟，沙一博前压为中能赢得前场右侧任意球；国安在化解对手冲击后由朴成传球策动快攻，乌塔卡左翼横传禁区，格隆小禁区线附近包抄攻门未打上力量，中能门将刘震理将球没收
9'射门!!!北京国安球员格隆大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是乌塔卡.                   7'第7分钟，沙一博前压为中能赢得前场右侧任意球；国安在化解对手冲击后由朴成传球策动快攻，乌塔卡左翼横传禁区，格隆小禁区线附近包抄攻门未打上力量，中能门将刘震理将球没收
