8'利物浦后场拿球给到边路                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
8'克莱因边路送直塞                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
8'球没有完全的传过去                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
8'南安普敦这边反击的机会                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
8'禁区内，摔倒了！！！                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
8'裁判这边没有表示！！                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
9'南安普敦坐在地上也是笑了笑                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
9'洛夫伦禁区内手上有动作，肖恩-朗也是顺势倒地                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
9'镜头也是给到了洛夫伦                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
17'奥里吉禁区弧顶拿球                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
17'突然的打门被后卫挡出                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
17'利物浦左侧进攻                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
17'0-1！！！！                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
17'库蒂尼奥！！！                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
18'利物浦中场断抢下来给到左路的库蒂尼奥，库蒂尼奥边路带球后内切一下后禁区外围打远射，福斯特扑救不及！！                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
18'此时此刻值得来杯嘉士伯                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
19'利物浦后场拿球给到中场                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
