5'于汉超拿球，被包夹，传球失误了                   5'客场作战的力帆迅速进入防守反击态势，第5分钟的角球冲击中米洛维奇头球顶偏
6'郜林中场将球反断回来                   5'客场作战的力帆迅速进入防守反击态势，第5分钟的角球冲击中米洛维奇头球顶偏
6'邹正送出长传球，球被踢出了边线                   5'客场作战的力帆迅速进入防守反击态势，第5分钟的角球冲击中米洛维奇头球顶偏
7'邹正传球禁区，球被大脚解围出来                   5'客场作战的力帆迅速进入防守反击态势，第5分钟的角球冲击中米洛维奇头球顶偏
12'隋东陆送出直塞球                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
12'球被解围出来                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
12'争抢中，裁判哨响                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
14'力帆任意球机会                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
14'郑又荣直接选择了打门                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
14'打到了门柱上，wow，这脚射门非常有威胁呀                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
15'争抢中，球出了底线                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
15'力帆的角球机会                   12'第12分钟，主裁判张龙判定廖力生禁区前手球，力帆获得位置较理想的任意球机会，郑又荣射门打出相当水准，皮球击中立柱外侧弹出
20'任意球开出                   20'战至第20分钟，恒大形成首次攻门，高拉特左路内切远射被力帆门将邓小飞化解
