2'巴萨方面，登贝莱、马尔科姆、博阿滕先发，普吉、瓦格、托迪博、维尔马伦出战，库蒂尼奥替补                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
2'巴萨将球给到左路                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
2'马尔科姆的突破比较勉强                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
3'巴萨前场拿球                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
3'挑传打身后                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
3'比较靠近防守球员                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
3'维戈塞尔塔后场边路拿球                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
3'撞墙配合出现失误                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
4'登贝莱这边出现了一些问题                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
4'巴萨马上要换人调整了                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
4'科拉多已经在火速准备                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
5'开场仅仅5分钟啊                   2'开场仅2分钟，阿莱尼亚角球进攻中头球攻门偏出
50'维戈塞尔塔左路左脚起球                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
50'拿到一个角球                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
50'角球送中路                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
50'1-0！！！                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
50'维戈塞尔塔进球了                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
51'阿罗约！！                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
51'维戈塞尔塔角球开出来，前点的头球攻门被西莱森扑了一下，二点的补射，阿罗约将球捅了进去                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
52'阿罗约补射的时候似乎有些越位的嫌疑                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
52'裁判在听取VAR意见                   50'第50分钟，布法尔开出角球，卡布拉尔小禁区前头球攻门被西莱森勉强扑出，阿劳霍近距离补射入网
67'1-0！！！                   67'塞尔塔第67分钟打破僵局，布德布兹右路传中，马克西-戈麦斯前点10码处抢在比达尔之前扫射右下角入网
67'维戈塞尔塔再次取得进球                   67'塞尔塔第67分钟打破僵局，布德布兹右路传中，马克西-戈麦斯前点10码处抢在比达尔之前扫射右下角入网
68'马克西-戈麦斯                   67'塞尔塔第67分钟打破僵局，布德布兹右路传中，马克西-戈麦斯前点10码处抢在比达尔之前扫射右下角入网
68'维戈塞尔塔右路进攻上来，45度起球送前点，马克西-戈麦斯前插后一个倒地扫射破门！！                   67'塞尔塔第67分钟打破僵局，布德布兹右路传中，马克西-戈麦斯前点10码处抢在比达尔之前扫射右下角入网
68'维戈塞尔塔这次的进球没有问题                   67'塞尔塔第67分钟打破僵局，布德布兹右路传中，马克西-戈麦斯前点10码处抢在比达尔之前扫射右下角入网
88'马克西-戈麦斯禁区前沿挑传，禁区里，瓦格用手碰到了                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
88'看看维戈塞尔塔的点球                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
88'考验西莱森的时候到了                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
88'阿斯帕斯来主罚                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
88'2-0！！！                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
88'阿斯帕斯点球推右侧，骗过了西莱森                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
89'阿斯帕斯打得很轻松                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
89'维戈塞尔塔基本锁定了胜局                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
90'保级路上关键的三分啊                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
91'下半场补时5分钟                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
91'维戈塞尔塔完成了最后一次换人调整                   88'塞尔塔第88分钟锁定胜局，瓦格禁区边缘内手球封堵对方传球，主裁在VAR审核后判定点球，阿斯帕斯点球一蹴而就，2-0
