1'上半场比赛开始！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
1'苏宁开球，从左向右进攻！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
1'苏宁进球啦！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
1'开场21秒啊！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
1'埃德尔！！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
3'苏宁中圈开球回传后场，再传两脚，吴曦中圈拿球，直塞给到特谢拉，中路强突，禁区弧左侧遭遇夹击，横传中间，高天意接应倒地，球到埃德尔脚下，起脚抽射，打进！                   1'这是恒大连续两场比赛开场不到1分钟丢球
3'苏宁前场再攻，特谢拉的强突斜塞，被解围                   1'这是恒大连续两场比赛开场不到1分钟丢球
4'恒大的左路反击，李学鹏直塞找塔利斯卡                   1'这是恒大连续两场比赛开场不到1分钟丢球
4'帕莱塔补防过来，放铲解围出边线                   1'这是恒大连续两场比赛开场不到1分钟丢球
4'保利尼奥前场中路拿球，变向强突                   1'这是恒大连续两场比赛开场不到1分钟丢球
4'上抢的埃德尔被吹拉人犯规！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
4'恒大前场中路任意球机会！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
6'保利尼奥前场拿球，直塞给到塔利斯卡                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
6'塔利斯卡带球强突禁区，起脚打门被挡出底线                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
6'恒大获得左侧角球机会！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
6'角球开出到前点，被苏宁球员解围                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
6'恒大左路的直塞球，帕莱塔补防解围                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
7'球碰到上来的塔利斯卡出界！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
7'特谢拉前场右路拿球内切，趟球有点大                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
7'出球后被放铲的梅方直接踹在了身上                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
7'梅方的犯规，同时自己还有点受伤，担架进场了                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
7'梅方被主裁判出示了黄牌警告！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
8'梅方被担架抬出场外，苏宁前场右侧的任意球机会！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
8'苏宁又进一个，2-0！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
8'李昂！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
9'高天意任意球斜传到后点，李昂插上无人防守，左脚垫射打进远角！！                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
9'这次防守，梅方在场边治疗，恒大少一人，禁区防守完全没到位啊                   6'第6分钟，特谢拉前场右路拿球内切，梅方放铲直接放倒特谢拉，梅方不仅吃到了黄牌自己也受伤被抬下场治疗
12'恒大前场失误，苏宁的反击                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
12'周云后场过顶长传找前场的特谢拉                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
13'冯潇霆的头球解围，郑龙大脚破坏出边线                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
13'埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
13'变向内切，横传球打在钟义浩身上出边线                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
14'特谢拉右侧接应界外球，遭遇夹击                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
14'回传周云，传大了                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
14'塔利斯卡回防抢断，拿球反击                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
14'带球到中线，直塞找前插的阿兰                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
