1'上半场比赛开始！！                   1'曼联第1分钟控制局面
1'首先开球的是阿斯顿维拉                   1'曼联第1分钟控制局面
1'维拉中场拿球被断                   1'曼联第1分钟控制局面
1'曼联将球回到后场                   1'曼联第1分钟控制局面
2'马塔中场拿球横向转移                   1'曼联第1分钟控制局面
2'瓦伦西亚边路拿球稳一下                   1'曼联第1分钟控制局面
2'马塔前场拿球没有出球的机会                   1'曼联第1分钟控制局面
2'罗霍左路送直塞没有过去                   1'曼联第1分钟控制局面
32'莱斯科特中场拦截的时候有拉拽                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
32'曼联任意球快发                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
32'1-0！！！！                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
32'拉什福德！！！                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
32'此时此刻值得来杯嘉士伯                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
33'曼联大范围转移到了右路底线，瓦伦西亚停球后低平球给到小禁区前沿，拉什福德跟进轻轻推射破门！！                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
33'这球拉什福德也是没有发什么力量                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
34'阿尤左路拿球到了禁区                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
34'摔倒了！！                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
34'裁判这边没有任何的表示                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
34'也是想要一个点球                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
35'曼联前场拿球给到边路                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
35'还是大范围转移到右路                   32'曼联第32分钟打破僵局，鲁尼分球，瓦伦西亚右路下底传中，拉什福德10码处低射入网
84'维拉左路传球送禁区内                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
84'德赫亚出击没有拿到球                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
84'维拉禁区内横敲到中路                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
84'乱战中曼联将球解围出来                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
84'维拉这边获得角球机会                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'角球送中路，格斯特德推射击中立柱！！！                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'曼联第二反应很快将球解围                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'维拉继续获得角球机会                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'角球送后点                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'头球攻门被德赫亚将球压在身下                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
85'曼联也是躲过一劫                   84'第84分钟，刚刚替补出场的盖斯特德角球混战中凌空垫射打中右侧立柱弹回，克拉克再次角球机会中的头球攻门被德赫亚没收
