9'距离有点近，偏左侧                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
9'迪巴拉弧线球打门，稍稍偏出                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
10'佩泽拉长传上来，巴尔扎利头球顶出边线                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
10'泰罗得球，转移球被夸德拉多断下                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
10'伊瓜因接应回传给本塔库尔，转移左路，阿萨莫阿交给曼朱基奇                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
10'再斜传转移，被阿斯托里将球破坏出边线                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
11'阿萨莫阿交给曼朱基奇，回传给马图伊迪                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
11'再交给鲁加尼                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
11'巴尔扎利接应交给阿萨莫阿                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
11'直传，曼朱基奇接应回传给巴尔扎利                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
11'交给鲁加尼，转移给斯泽斯尼，迪巴拉接应，跟防的比拉吉踢倒了迪巴拉                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
12'斯图拉罗转移向左路的曼朱基奇，回传，本塔库尔交给鲁加尼                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
12'传给夸德拉多，伊瓜因接应                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
12'转身再短传被比拉吉断下                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
12'再传，马图伊迪抢断                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
12'巴德尔吉抢球犯规                   9'开场9分钟，迪巴拉左侧距门18米处左脚任意球偏出近门柱
52'曼朱基奇往禁区内勾，加斯帕尔将球踢出边线                   52'下半时开始7分钟，尤文打破僵局
52'曼朱基奇往禁区内端，佩将球踢出边线                   52'下半时开始7分钟，尤文打破僵局
52'曼朱基奇停球，传中被拦截                   52'下半时开始7分钟，尤文打破僵局
52'夸德拉多拿球，交给迪巴拉，再交给曼朱基奇                   52'下半时开始7分钟，尤文打破僵局
52'马图伊迪接应分给阿萨莫阿                    52'下半时开始7分钟，尤文打破僵局
52'基耶萨拉人犯规                   52'下半时开始7分钟，尤文打破僵局
52'转移给了夸德拉多，传中，好球                   52'下半时开始7分钟，尤文打破僵局
53'曼朱基奇伸脚顺势扫射，球进了！                   52'下半时开始7分钟，尤文打破僵局
53'夸德拉多右路得球，斜传禁区，伊瓜因前点打门要到球，后点曼祖基奇俯身头球将球顶入大门！                   52'下半时开始7分钟，尤文打破僵局
54'曼朱基奇是用头球将球攻进的                   52'下半时开始7分钟，尤文打破僵局
54'西蒙尼来一脚远射，打高了                   52'下半时开始7分钟，尤文打破僵局
55'夸德拉多交给马图伊迪                   52'下半时开始7分钟，尤文打破僵局
55'想不到佛罗伦萨作了人员调整，马上被尤文打一个                   52'下半时开始7分钟，尤文打破僵局
55'夸德拉多接应被绊倒                   52'下半时开始7分钟，尤文打破僵局
66'这球犯规的地点确实难判断                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
66'主裁判也看了又看                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
66'也要想                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
66'主裁判掏出黄牌，两黄变一红罚下了佛罗伦萨5号巴德尔吉！                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
67'巴德尔吉是左脚先绊了马图伊迪一下，右脚又绊了马图伊迪一下                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
67'裁判改判为任意球                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
67'夸德拉多回传，迪巴拉打门被后卫挡出边线                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
68'夸德拉多右路来了，传中，前点漏了                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
68'后点曼朱基奇打门，没有打向球被                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
69'被加斯帕尔破坏出底线                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
69'角球威胁不大                   66'佛罗伦萨第66分钟再遭打击，马图伊迪左路内切被巴代利扫倒，主裁判指向点球点
