29'禁区后也是滑跪庆祝！！                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
29'米兰角球开出，博努奇中路面对两人的包夹下头球冲顶破门！！                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
29'距离太近，布冯也是没有太多反应                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
29'双方重新回到起跑线上                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
31'米兰这边前场断球                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
31'尤文这边放铲                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
32'先吹了恰尔汗奥卢的犯规                   29'赛前为29日去世的前意大利边锋蒙多尼科默哀1分钟
47'米兰这边后场倒脚                   47'尤文2分钟后取得领先
47'消耗掉时间                   47'尤文2分钟后取得领先
47'米兰这边后场控球下来                   47'尤文2分钟后取得领先
47'里卡多-罗德里格斯边路拿球往前送                   47'尤文2分钟后取得领先
48'边路传球送禁区                   47'尤文2分钟后取得领先
48'队友接球瞬间摔倒了                   47'尤文2分钟后取得领先
50'米兰这边将球传到禁区                   47'尤文2分钟后取得领先
50'很突然啊                   47'尤文2分钟后取得领先
50'布冯这边反应也是很快                   47'尤文2分钟后取得领先
50'尤文左路攻上来                   47'尤文2分钟后取得领先
61'尤文再次换人                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
61'马图伊迪下，夸德拉多上！                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'这段时间米兰又是被压着打                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'尤文前场拿球                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'左路起球送进来                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'夸德拉多弧顶接球被断                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'米兰这边反击了                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'安德烈-席尔瓦右路横敲                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
63'没有传过去啊                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
64'米兰这边也换人了                   61'AC米兰第16分钟错失机会，恰尔汉奥卢禁区左侧传中，安德烈-席尔瓦后点距门3米处头球砸地偏出近门柱
55'横梁啊！！！！                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
55'米兰前场拿球，禁区外围冷射一脚击中横梁！！                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
55'禁区外围还有机会                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
56'推近角被布冯扑了出去                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
56'米兰打了一个战术角球                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
56'右路再传没有机会                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
56'之前打在横梁的是恰尔汗奥卢的远射                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
57'尤文这边前场拿球                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
58'迪巴拉的远射将球打偏                   55'AC米兰第55分钟几乎反超，安德烈·席尔瓦中路分球，恰尔汉奥卢左侧距门242米处大力抽射击中横梁弹回
79'米兰前场拿球被单                   79'尤文第79分钟再度超出
79'现在尤文这边更积极一些                   79'尤文第79分钟再度超出
79'尤文将球转移到边路                   79'尤文第79分钟再度超出
79'道格拉斯-科斯塔停球有些大                   79'尤文第79分钟再度超出
79'但还是控下来了                   79'尤文第79分钟再度超出
79'2-1！！！                   79'尤文第79分钟再度超出
79'夸德拉多！！！                   79'尤文第79分钟再度超出
80'赫迪拉左路起球送禁区后点，夸德拉多无人看防头球冲顶破门！！！                   79'尤文第79分钟再度超出
80'米兰换人了                   79'尤文第79分钟再度超出
81'恰尔汗奥卢下，库特罗内上！                   79'尤文第79分钟再度超出
82'蒙托利沃边路防守犯规                   79'尤文第79分钟再度超出
82'蒙托利沃得到一张黄牌！                   79'尤文第79分钟再度超出
82'基耶利尼争抢头球犯规                   79'尤文第79分钟再度超出
82'卡拉布里亚右路拿球内切                   79'尤文第79分钟再度超出
87'右路传球送禁区                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
87'没机会                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
87'3-1！！！                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
87'赫迪拉！！！                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
88'道格拉斯-科斯塔左路底线拿球倒三角传回来，迪巴拉接球再分出来，赫迪拉跟进直接抽近角破门！！                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
88'尤文这边也是锁定了胜局                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
88'米兰右路起球送禁区                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
88'第一点被尤文解围                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
88'禁区外围里卡多-罗德里格斯拿球被侵犯                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
89'米兰的任意球机会                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
89'任意球直接打门                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
89'布冯一个倒地侧扑将球扑了出去                   87'然而尤文第87分钟锁定胜局，道格拉斯·科斯塔左路回传，迪巴拉禁区左侧再回敲，赫迪拉在门前14米处低射钻入近角，3比1
