3'拜仁慕尼黑球员莱万多夫斯基大禁区中央尝试头球,可惜皮球高出球门.给他传球的是拉菲尼亚.
6'拜仁慕尼黑球员阿拉巴一脚直塞球给格策,但是边裁举旗显示后者已经越位.
7'拜仁慕尼黑球员穆勒大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿拉巴.
10'射门!!!拜仁慕尼黑球员阿拉巴大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是贝尔纳特.
11'门兴球员科布拼抢犯规,对手获得控球权.
11'阿拉巴为拜仁慕尼黑在对方半场,赢得一个任意球.
11'拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被防守球员封堵.给他传球的是阿隆索.
15'射门!!!拜仁慕尼黑球员莱万多夫斯基大禁区中央头球,被对方守门员横身扑出.给他传球的是拉菲尼亚.
16'克拉默为门兴赢得一个任意球.
16'拜仁慕尼黑球员阿隆索拼抢犯规,对手获得控球权.
18'多明格斯将球处理出底线,拜仁慕尼黑获得角球.
19'射门!!!拜仁慕尼黑球员拉菲尼亚右侧远离球门处小角度右脚射门,被对方守门员横身扑出.给他传球的是阿隆索.
20'门兴球员拉斐尔一脚直塞球给哈恩,但是边裁举旗显示后者已经越位.
20'克鲁泽为门兴在对方半场,赢得一个任意球.
20'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.
22'哈恩为门兴赢得一个任意球.
22'拜仁慕尼黑球员贝尔纳特拼抢犯规,对手获得控球权.
23'门兴球员科布一脚直塞球给克鲁泽,但是边裁举旗显示后者已经越位.
25'门兴球员克拉默手球犯规,对手获得球权.
28'扎卡将球处理出底线,拜仁慕尼黑获得角球.
29'文特将球处理出底线,拜仁慕尼黑获得角球.
30'哈恩为门兴在对方半场,赢得一个任意球.
30'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.
33'拜仁慕尼黑球员拉姆大禁区右侧右脚射门,被防守球员封堵.给他传球的是格策.
33'多明格斯将球处理出底线,拜仁慕尼黑获得角球.
34'射门!!!门兴球员克鲁泽大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是哈恩.
37'扎卡为门兴在右路,赢得一个任意球.
37'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.
38'门兴球员赫尔曼拼抢犯规,对手获得控球权.
38'拉姆为拜仁慕尼黑在对方半场,赢得一个任意球.
41'拜仁慕尼黑球员莱万多夫斯基大禁区外右脚射门,被防守球员封堵.给他传球的是格策.
41'多明格斯将球处理出底线,拜仁慕尼黑获得角球.
42'门兴球员哈恩球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是赫尔曼.
43'赫尔曼为门兴赢得一个任意球.
43'拜仁慕尼黑球员拉菲尼亚拼抢犯规,对手获得控球权.
45'哈恩为门兴在对方半场,赢得一个任意球.
45'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.
45'黄牌！拜仁慕尼黑球员格策因为恶意犯规,被主裁判出示黄牌.
45'+1'门兴球员扎卡一脚直塞球给克鲁泽,但是边裁举旗显示后者已经越位.
45'+1'上半场结束,门兴 0-0 拜仁慕尼黑,稍事休息,我们一会来看看下半场两队的表现.
47'哈恩为门兴在右路,赢得一个任意球.
47'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.
47'黄牌！拜仁慕尼黑球员丹特因为恶意犯规,被主裁判出示黄牌.
48'门兴球员文特拼抢犯规,对手获得控球权.
48'莱万多夫斯基为拜仁慕尼黑赢得一个任意球.
48'黄牌！门兴球员文特因为恶意犯规,被主裁判出示黄牌.
49'拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被防守球员封堵.给他传球的是拉菲尼亚.
49'克拉默将球处理出底线,拜仁慕尼黑获得角球.
52'拜仁慕尼黑球员拉菲尼亚大禁区右侧右脚射门,被防守球员封堵.给他传球的是穆勒.
52'射门!!!门兴球员哈恩大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是克鲁泽.
53'多明格斯将球处理出底线,拜仁慕尼黑获得角球.
55'射门!!!拜仁慕尼黑球员莱万多夫斯基球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是格策.
55'拜仁慕尼黑球员格策大禁区左侧右脚射门,被防守球员封堵.
56'门兴球员哈恩手球犯规,对手获得球权.
56'门兴球员施特兰茨尔拼抢犯规,对手获得控球权.
56'格策为拜仁慕尼黑在对方半场,赢得一个任意球.
57'拜仁慕尼黑球员阿隆索一脚直塞球给莱万多夫斯基,但是边裁举旗显示后者已经越位.
58'射门!!!门兴球员赫尔曼球门左侧小角度右脚射门,被对方守门员横身扑出.给他传球的是克鲁泽.
58'诺伊尔将球处理出底线,门兴获得角球.
59'门兴球员哈恩大禁区左侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是拉斐尔.
62'拜仁慕尼黑球员贝尔纳特大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是格策.
62'哈恩为门兴赢得一个任意球.
62'拜仁慕尼黑球员贝纳蒂亚拼抢犯规,对手获得控球权.
62'黄牌！拜仁慕尼黑球员贝纳蒂亚因为恶意犯规,被主裁判出示黄牌.
64'多明格斯将球处理出底线,拜仁慕尼黑获得角球.
65'拜仁慕尼黑球员莱万多夫斯基大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿隆索.
65'拜仁慕尼黑球员格策大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是莱万多夫斯基.
65'诺伊尔将球处理出底线,门兴获得角球.
66'门兴球员多明格斯大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是克鲁泽.
66'拜仁慕尼黑换人,里贝里换下拉菲尼亚
67'克鲁泽为门兴在左路,赢得一个任意球.
67'拜仁慕尼黑球员贝纳蒂亚拼抢犯规,对手获得控球权.
67'射门!!!门兴球员拉斐尔左侧很远处右脚射门,被对方守门员横身扑出.
67'诺伊尔将球处理出底线,门兴获得角球.
68'门兴球员扎卡大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
68'门兴球员哈恩大禁区外尝试右脚射门,可惜皮球高出球门.
71'拉斐尔为门兴赢得一个任意球.
71'拜仁慕尼黑球员阿隆索拼抢犯规,对手获得控球权.
72'门兴球员赫尔曼拼抢犯规,对手获得控球权.
72'里贝里为拜仁慕尼黑赢得一个任意球.
74'门兴球员克鲁泽大禁区外右脚射门,被防守球员封堵.给他传球的是扎卡.
74'拜仁慕尼黑换人,皮萨罗换下穆勒
78'射门!!!门兴球员拉斐尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是赫尔曼.
78'诺伊尔将球处理出底线,门兴获得角球.
79'门兴球员扎卡拼抢犯规,对手获得控球权.
79'皮萨罗为拜仁慕尼黑在对方半场,赢得一个任意球.
81'门兴换人,法比安-约翰逊换下哈恩
81'门兴换人,特拉奥雷换下赫尔曼
82'特拉奥雷将球处理出底线,拜仁慕尼黑获得角球.
83'拜仁慕尼黑球员格策大禁区左侧左脚射门,被防守球员封堵.给他传球的是拉姆.
84'拜仁慕尼黑换人,沙奇里换下格策
89'拜仁慕尼黑球员贝尔纳特大禁区左侧左脚射门,被防守球员封堵.给他传球的是沙奇里.
89'科布将球处理出底线,拜仁慕尼黑获得角球.
89'拜仁慕尼黑球员阿拉巴一脚直塞球给皮萨罗,但是边裁举旗显示后者已经越位.
90'门兴换人,哈扎德换下拉斐尔
90'拜仁慕尼黑球员莱万多夫斯基大禁区外右脚射门,被防守球员封堵.给他传球的是阿隆索.
90'+1'门兴扎卡受伤倒地,比赛暂停
90'+2'暂停结束,球员们重新开始比赛.
90'+3'射门!!!拜仁慕尼黑球员皮萨罗大禁区中央右脚射门,被对方守门员横身扑出.
90'+3'拜仁慕尼黑球员阿隆索大禁区左侧尝试头球,可惜皮球稍稍偏出了右球门.
90'+6'下半场结束,门兴 0-0 拜仁慕尼黑
