8'赫罗纳的右侧角球机会！！                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
8'开出到前点，列拉的后蹭，被拉莫斯挡出                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
8'卡塞米罗回防，大脚解围                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
9'皇马的反击，直塞身后找前插的本泽马                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
9'本泽马拿球单刀赴会，面对亚辛，推射打进远角，可惜越位无效啊！                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
10'赫罗纳前场进攻，穆涅萨中路拿球                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
10'分球左侧给到加西亚                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
10'内切面对卡瓦哈尔，再给到了左侧边路的穆涅萨                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
10'穆涅萨的传中球，被防守球员挡出                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
10'波罗右路拿球，再传门前                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
11'纳瓦斯面对洛萨诺的冲抢，从其头顶将球打出                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
11'主裁判鸣哨，吹罚了洛萨诺的冲撞门将犯规                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
11'马塞洛左路拿球，横传本泽马                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
17'赫罗纳进球了，1-0！！！                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
17'加西亚！！！                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
18'洛萨诺右路拿球强突禁区，一脚爆射被纳乔倒地用身体挡出，球到中间的加西亚脚下，一扣晃倒回防的卡塞米罗，右脚抽射半高球打进！                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
