9'射门!!!罗马球员纳英戈兰大禁区外右脚射门,被对方守门员横身扑出.                   9'开场9分钟，纳英戈兰断球射门太正，佩林倒地没收
9'罗马球员弗洛伦齐大禁区中央头球,被防守球员封堵.给他传球的是多多.                   9'开场9分钟，纳英戈兰断球射门太正，佩林倒地没收
25'罗马球员托蒂大禁区外右脚射门,被防守球员封堵.                   25'第25分钟，托蒂主罚任意球打在人墙上，曼弗雷迪尼解围见高不见远，弗洛伦齐左侧距门10米处精彩倒钩入远角，1比0，这是他本赛季意甲第5球，排名本队首位
25'进球啦！！！罗马球员弗洛伦齐大禁区中央右脚射门,球从右下角飞进球门,球进了! 罗马 1-0 热那亚.                   25'第25分钟，托蒂主罚任意球打在人墙上，曼弗雷迪尼解围见高不见远，弗洛伦齐左侧距门10米处精彩倒钩入远角，1比0，这是他本赛季意甲第5球，排名本队首位
26'沃萨齐科为热那亚在右路,赢得一个任意球.                   25'第25分钟，托蒂主罚任意球打在人墙上，曼弗雷迪尼解围见高不见远，弗洛伦齐左侧距门10米处精彩倒钩入远角，1比0，这是他本赛季意甲第5球，排名本队首位
26'罗马球员多多拼抢犯规,对手获得控球权.                   25'第25分钟，托蒂主罚任意球打在人墙上，曼弗雷迪尼解围见高不见远，弗洛伦齐左侧距门10米处精彩倒钩入远角，1比0，这是他本赛季意甲第5球，排名本队首位
28'射门!!!罗马球员热尔维尼奥大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是德桑蒂斯.                   25'第25分钟，托蒂主罚任意球打在人墙上，曼弗雷迪尼解围见高不见远，弗洛伦齐左侧距门10米处精彩倒钩入远角，1比0，这是他本赛季意甲第5球，排名本队首位
30'进球啦！！！罗马球员托蒂大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是热尔维尼奥. 罗马 2-0 热那亚.                   30'第30分钟，热尔维尼奥右路突破回敲，托蒂推射碰曼弗雷迪尼入近角，2比0
31'热那亚球员卡布拉尔拼抢犯规,对手获得控球权.                   30'第30分钟，热尔维尼奥右路突破回敲，托蒂推射碰曼弗雷迪尼入近角，2比0
31'布尔迪索为罗马赢得一个任意球.                   30'第30分钟，热尔维尼奥右路突破回敲，托蒂推射碰曼弗雷迪尼入近角，2比0
32'热那亚球员卡布拉尔拼抢犯规,对手获得控球权.                   30'第30分钟，热尔维尼奥右路突破回敲，托蒂推射碰曼弗雷迪尼入近角，2比0
32'斯特罗特曼为罗马在对方半场,赢得一个任意球.                   30'第30分钟，热尔维尼奥右路突破回敲，托蒂推射碰曼弗雷迪尼入近角，2比0
52'沃萨齐科将球处理出底线,罗马获得角球.                   52'下半时开始7分钟，托蒂左侧开出角球，贝纳蒂亚前点头球破门，4比0，这是他本赛季第5球，在本赛季5大联赛中，与埃弗顿的科尔曼并列进球最多的后卫
52'进球啦！！！罗马球员贝纳蒂亚小禁区左侧头球,球从中路飞进球门,球进了!助攻的是托蒂. 罗马 4-0 热那亚.                   52'下半时开始7分钟，托蒂左侧开出角球，贝纳蒂亚前点头球破门，4比0，这是他本赛季第5球，在本赛季5大联赛中，与埃弗顿的科尔曼并列进球最多的后卫
54'卡莱奥为热那亚赢得一个任意球.                   52'下半时开始7分钟，托蒂左侧开出角球，贝纳蒂亚前点头球破门，4比0，这是他本赛季第5球，在本赛季5大联赛中，与埃弗顿的科尔曼并列进球最多的后卫
54'罗马球员布尔迪索拼抢犯规,对手获得控球权.                   52'下半时开始7分钟，托蒂左侧开出角球，贝纳蒂亚前点头球破门，4比0，这是他本赛季第5球，在本赛季5大联赛中，与埃弗顿的科尔曼并列进球最多的后卫
72'罗马球员德斯特罗小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是斯特罗特曼.                   72'第72分钟，斯特鲁特曼直传，德斯特罗禁区右侧斜射偏出远门柱
73'迪马伊奥为热那亚赢得一个任意球.                   72'第72分钟，斯特鲁特曼直传，德斯特罗禁区右侧斜射偏出远门柱
73'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   72'第72分钟，斯特鲁特曼直传，德斯特罗禁区右侧斜射偏出远门柱
