1'比赛开始了，瓦伦西亚开球                   1'巴萨第1分钟展开积极攻势
1'瓦伦西亚从右侧向左侧进攻                   1'巴萨第1分钟展开积极攻势
1'巴萨则是从左侧向右侧来进攻                   1'巴萨第1分钟展开积极攻势
1'皮克后场给到小白，组织一下，在给回皮克                   1'巴萨第1分钟展开积极攻势
2'转移球给到左侧这边，阿尔巴把球回给小马哥                   1'巴萨第1分钟展开积极攻势
2'罗贝托右路给到拉基蒂奇，往前直塞一脚                   1'巴萨第1分钟展开积极攻势
2'给的比较大，门将阿尔维斯出击，大脚开出去                   1'巴萨第1分钟展开积极攻势
3'皮克交给小马哥，梅西右路来接应，大范围转移                   1'巴萨第1分钟展开积极攻势
3'左路内马尔包抄上来，追不上了，停球出了底线                   1'巴萨第1分钟展开积极攻势
3'阿尔维斯门球大脚开出                   1'巴萨第1分钟展开积极攻势
4'小马哥后场得到，回给布拉沃，皮克拿球向前                   1'巴萨第1分钟展开积极攻势
4'左路小马哥送一脚长传，还是找左路内马尔                   1'巴萨第1分钟展开积极攻势
4'内少越位在先了                   1'巴萨第1分钟展开积极攻势
4'镜头给到了恩里克，他现在身上担子很重啊，欧冠出局后，压力山大                   1'巴萨第1分钟展开积极攻势
12'阿尔巴低传门前，苏神铲射差之毫厘了                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
12'戈麦斯前场左路拼抢犯规                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
12'苏神回撤自己半场接应，阿卜杜努尔身后犯规                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
13'巴萨中场右路突然的一个长传，很精准啊                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
13'内少中路跟上，抢在两名中卫之间，有机会                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
13'面对出击的门将，选择吊射，高度不够，被阿尔维斯扑出                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
13'梅西右路强突，杀到底线附近，横传被挡出                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
13'内少中路拿球，给拉基蒂奇，右路罗贝托拿球                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
14'在传回去，小马哥在调动到左侧                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
14'巴萨连续的调动，梅西直塞禁区内，苏神插上                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
14'苏神转身出来，在做给罗贝托                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
14'罗贝托禁区右肋跟上轰门被挡出                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
15'左路内少得球，在分给小白，内少被巴拉甘踩翻在地                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
15'巴拉甘吃到黄牌                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
