1'索伦森将球处理出底线,国际米兰获得角球.                   1'赛前为撒丁岛洪灾遇难者默哀1分钟
2'莫莱奥为博洛尼亚在左路,赢得一个任意球.                   1'赛前为撒丁岛洪灾遇难者默哀1分钟
2'国际米兰球员泰德尔拼抢犯规,对手获得控球权.                   1'赛前为撒丁岛洪灾遇难者默哀1分钟
2'黄牌！国际米兰球员泰德尔因为恶意犯规,被主裁判出示黄牌.                   1'赛前为撒丁岛洪灾遇难者默哀1分钟
12'进球啦！！！博洛尼亚球员P-科内大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是里斯塔尔多. 博洛尼亚 1-0 国际米兰.                   12'第12分钟，国米开出角球，博洛尼亚打出反击，泰德尔中线附近对迪亚曼蒂犯规，主裁判班蒂根据有利原则没有中断比赛，克里斯塔尔多得球右路高速反击低传，科内在门前11米处左脚推射被汉达诺维奇一扑还是滚进左下角，1比0，国米终结连续257分钟意甲不失球的历史
13'博洛尼亚球员迪亚曼蒂被主裁判出示了一张黄牌.                   12'第12分钟，国米开出角球，博洛尼亚打出反击，泰德尔中线附近对迪亚曼蒂犯规，主裁判班蒂根据有利原则没有中断比赛，克里斯塔尔多得球右路高速反击低传，科内在门前11米处左脚推射被汉达诺维奇一扑还是滚进左下角，1比0，国米终结连续257分钟意甲不失球的历史
13'国际米兰球员罗兰多一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   12'第12分钟，国米开出角球，博洛尼亚打出反击，泰德尔中线附近对迪亚曼蒂犯规，主裁判班蒂根据有利原则没有中断比赛，克里斯塔尔多得球右路高速反击低传，科内在门前11米处左脚推射被汉达诺维奇一扑还是滚进左下角，1比0，国米终结连续257分钟意甲不失球的历史
14'射门!!!国际米兰球员帕拉西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓜林.                   12'第12分钟，国米开出角球，博洛尼亚打出反击，泰德尔中线附近对迪亚曼蒂犯规，主裁判班蒂根据有利原则没有中断比赛，克里斯塔尔多得球右路高速反击低传，科内在门前11米处左脚推射被汉达诺维奇一扑还是滚进左下角，1比0，国米终结连续257分钟意甲不失球的历史
14'加里茨将球处理出底线,国际米兰获得角球.                   12'第12分钟，国米开出角球，博洛尼亚打出反击，泰德尔中线附近对迪亚曼蒂犯规，主裁判班蒂根据有利原则没有中断比赛，克里斯塔尔多得球右路高速反击低传，科内在门前11米处左脚推射被汉达诺维奇一扑还是滚进左下角，1比0，国米终结连续257分钟意甲不失球的历史
14'射门!!!国际米兰球员帕拉西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓜林.                   14'第14分钟，瑟伦森解围失误，帕拉西奥在门前17米处抽射被库尔奇伸腿一挡偏出
14'加里茨将球处理出底线,国际米兰获得角球.                   14'第14分钟，瑟伦森解围失误，帕拉西奥在门前17米处抽射被库尔奇伸腿一挡偏出
26'博洛尼亚球员迪亚曼蒂大禁区左侧左脚射门,被防守球员封堵.给他传球的是莫莱奥.                   26'第26分钟，帕拉西奥左路内切抽射高出
26'国际米兰球员帕拉西奥大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是阿尔瓦雷斯.                   26'第26分钟，帕拉西奥左路内切抽射高出
27'迪亚曼蒂为博洛尼亚赢得一个任意球.                   26'第26分钟，帕拉西奥左路内切抽射高出
27'国际米兰球员佩雷拉拼抢犯规,对手获得控球权.                   26'第26分钟，帕拉西奥左路内切抽射高出
28'射门!!!国际米兰球员瓜林右脚射门,被对方守门员横身扑出.                   26'第26分钟，帕拉西奥左路内切抽射高出
28'博洛尼亚球员库尔奇一脚直塞球给里斯塔尔多,但是边裁举旗显示后者已经越位.                   26'第26分钟，帕拉西奥左路内切抽射高出
37'博洛尼亚球员P-科内拼抢犯规,对手获得控球权.                   37'第37分钟，若纳坦右路切入禁区挑传，帕拉西奥在门前7米处头球偏出右门柱
37'瓜林为国际米兰在对方半场,赢得一个任意球.                   37'第37分钟，若纳坦右路切入禁区挑传，帕拉西奥在门前7米处头球偏出右门柱
38'博洛尼亚球员P-科内被主裁判出示了一张黄牌.                   37'第37分钟，若纳坦右路切入禁区挑传，帕拉西奥在门前7米处头球偏出右门柱
39'国际米兰球员胡安大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎比亚索,后者的直接任意球差点形成助攻.                   37'第37分钟，若纳坦右路切入禁区挑传，帕拉西奥在门前7米处头球偏出右门柱
43'博洛尼亚球员纳塔利拼抢犯规,对手获得控球权.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
43'帕拉西奥为国际米兰在对方半场,赢得一个任意球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
43'国际米兰球员佩雷拉球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是泰德尔.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
43'国际米兰球员泰德尔小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是佩雷拉.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'博洛尼亚球员里斯塔尔多拼抢犯规,对手获得控球权.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
