1'上半场比赛开始，皇马开球                   1'皇马第1分钟就利用主场之利占据主动
1'皇马从球场的右侧向左进攻                   1'皇马第1分钟就利用主场之利占据主动
1'莫德里奇后场拿球过度给到埃辛                   1'皇马第1分钟就利用主场之利占据主动
2'埃辛中圈拿球，面对对手的上抢，横拨给到拉莫斯                   1'皇马第1分钟就利用主场之利占据主动
2'拉莫斯的后场过顶直传找伊瓜因，被塞维利亚球员拦截                   1'皇马第1分钟就利用主场之利占据主动
3'莫德里奇中场拿球被放倒，皇马前场任意球                   1'皇马第1分钟就利用主场之利占据主动
3'C罗任意球吊门，球直接送入贝托的怀中                   1'皇马第1分钟就利用主场之利占据主动
4'拉莫斯后场拿球过了中线分边给到科恩特朗                   1'皇马第1分钟就利用主场之利占据主动
4'科恩特朗和C罗在禁区线上的配合，被科克将球解围出边线                   1'皇马第1分钟就利用主场之利占据主动
11'可惜力量过轻，本泽马回来接应，球被抢先一步的法奇奥拦截                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
11'皇马中场抢断，禁区外的远射，贝托将球扑出                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
12'这次起脚远射的就是好久不见的卡卡                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
12'伊瓜因前场右路拿球，单挑斯帕西奇                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
13'伊瓜因虚晃两枪，闪开防守角度，起脚传中，结果直接传出了底线                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
13'埃辛后场争顶时被吹拉人犯规，拉倒了内格雷多                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
13'塞维利亚前场的任意球机会                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
14'任意球吊到禁区，拉莫斯将球解围                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
14'塞维利亚本赛季在主场战胜了皇马，此役皇马也是复仇之战                   11'第11分钟，C-罗纳尔多传球，卡卡20码处劲射被贝托救下
17'这球皇马球员已经失去防守位置，可惜法奇奥腿太短了，伸腿没能够到皮球                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
17'进球了                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
18'本泽马~~~~                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
19'皇马后场过顶球给到左前场，伊瓜因停球给到C罗，C罗禁区左侧横传门前，纳瓦罗回防解围球打在自己身上弹起，本泽马门线上轻松打空门得手                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
20'科恩特朗前场拿球，外脚背的斜塞给到本泽马                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
20'本泽马拿球横传给到埃辛                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
20'埃辛的直塞找禁区外围的卡卡，结果被抢断                   17'第17分钟，C-罗纳尔多传球，摩德里奇左路内切后20码处弧线球射门偏出右侧立柱
22'内格雷多禁区左侧拿球，左脚的传中，迭戈-洛佩兹出击将球没收                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
22'卡卡前场拿球，变向突破，禁区弧内的起脚打门，太正了，被贝托收入怀中                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
23'莫德里奇禁区外的斜塞给到右边路的本泽马                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
23'本泽马的边路传中，塞维利亚后卫伸腿将球碰出底线                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
24'皇马获得右侧角球机会                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
24'拉莫斯禁区内的头球攻门，被后卫解围出禁区                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
24'塞维利亚的反击，纳瓦斯的斜传球找前插的科克                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
24'可惜边裁举旗，科克越位在先                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
25'拉莫斯中场拿球，直塞给到C罗                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
25'C罗左路拿球，面对纳瓦斯的贴身防守，没机会转身哦                   22'第22分钟，伊瓜因传球，卡卡禁区弧边缘的射门正入贝托下怀
26'进球了~~                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
26'C罗~~~~~~                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
28'卡卡禁区线上回敲给到C罗，C罗拿球横拨，闪开角度，左脚的抽射破网                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
28'上半场才28分钟，皇马就2-0领先，后边比赛好看了                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
