8' 杨立瑜接球就是一脚远射，大飞了                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
8'买提江低平球向前给                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
8'禁区外围阿奇姆彭得球给到曹阳                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
10'胡人天给到禁区，阿奇姆彭勾射                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
10'石柯在门前将球解围出去                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
10'石柯分球左路，王燊超带球推进                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
11'给到中圈的胡尔克                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
11'胡尔克再做给王燊超，推进后被断掉                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
10'胡人天给到禁区，阿奇姆彭勾射                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
10'石柯在门前将球解围出去                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
10'石柯分球左路，王燊超带球推进                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
11'给到中圈的胡尔克                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
11'胡尔克再做给王燊超，推进后被断掉                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
12'上港进了                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
13'奥斯卡断球分身边，胡尔克给到禁区，奥斯卡打门被扑出，武磊补射破门                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
13' 米克尔分球给右路 的赵宏略                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
13'给到身后的潘喜明                   10'第10分钟上港前场把握住机会，天津队后场界外球被截断，武磊直塞入禁区，胡尔克再推送入禁区腹地，奥斯卡跟上单刀射门，虽然球被杜佳扑出，但无人看守的武磊轻松补射得分，1比0
18' 杨立瑜继续回敲                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
18' 阿奇姆彭左路得球，傅欢后场断球了                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
20' 右路胡人天带球往中路走                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
20' 直接挑传到禁区内                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
20' 球被石柯破坏出来                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
20'阿奇姆彭开出角球，中路米克尔打门被解围                   18'第18分钟米克尔前场分球，赵宏略远射被颜骏凌扑出
34'买提江带球推进，挑传到了禁区                   32'第32分钟蔡慧康和买提江拼抢中发生争执，结果都吃到黄牌
34'被上港球员解围出来                   32'第32分钟蔡慧康和买提江拼抢中发生争执，结果都吃到黄牌
35'曹阳后场拿球分米克尔                   32'第32分钟蔡慧康和买提江拼抢中发生争执，结果都吃到黄牌
35'奥斯卡直接断球了，米克尔反抢犯规                   32'第32分钟蔡慧康和买提江拼抢中发生争执，结果都吃到黄牌
37'上港开出右侧角球，被防守球员大脚解围                   36'第36分钟天津队险些进球，古德利禁区外直接凌空抽射，皮球中柱而出
37'贺惯得球斜传找奥斯卡                   36'第36分钟天津队险些进球，古德利禁区外直接凌空抽射，皮球中柱而出
39'上港给长传球，米克尔断球下来                   36'第36分钟天津队险些进球，古德利禁区外直接凌空抽射，皮球中柱而出
39'分到右路，胡人天停球没停好啊                   36'第36分钟天津队险些进球，古德利禁区外直接凌空抽射，皮球中柱而出
40'阿奇姆彭左路传中，禁区内被门将拿到                   40'第40分钟买提江左路送球，阿奇姆蓬横推中路，三位天津队员跑过未能接到来球
40'奥斯卡横传球给到胡尔克                   40'第40分钟买提江左路送球，阿奇姆蓬横推中路，三位天津队员跑过未能接到来球
41' 胡尔克禁区外右侧带球向前走俩步，直接远射了，球被杜佳没收                   40'第40分钟买提江左路送球，阿奇姆蓬横推中路，三位天津队员跑过未能接到来球
42'阿奇姆彭给到左路的买提江                   40'第40分钟买提江左路送球，阿奇姆蓬横推中路，三位天津队员跑过未能接到来球
42'阿奇姆彭跟进得球横敲，球被王燊超解围出边线                   40'第40分钟买提江左路送球，阿奇姆蓬横推中路，三位天津队员跑过未能接到来球
45'后点于海插上没顶到，球出了界外                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
