1'上半场比赛开始！                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
1'国安率先中圈开球                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
1'徐亮中场抢断，张稀哲反抢犯规了                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
2'申花后场捣脚，柏佳骏出球被拦截                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
2'利马中场抢断，交给中场队友                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
2'格隆左边路拿球晃动被戴琳把球踢出界外                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
3'国安左路传中，利马头球争到落点但是球顶得直上直下                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
3'禁区外围争高球，朴成犯规了                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
4'王大雷长传去前场，被对方头球解围                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
4'哈蒂布前场拿球不稳，球被破坏                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
4'利马头球摆渡，格隆反越位拿球到右路                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
4'禁区前朴成直塞力量稍大，球被王大雷没收                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
8'郎征任意球高吊去后点被斯基亚维解围，角球                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
8'国安角球开中路，王大雷出击把球双拳打出                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
9'外围国安再把球做入禁区，徐云龙禁区右侧拿球推传门前，斯基亚维把球铲出底线                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
9'张稀哲角球开点球点附近，莫雷诺头球解围                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
10'申花反击，哈蒂布被雷腾龙搂脖拉倒                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
10'雷腾龙同样被裁判黄牌警告！                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
10'斯基亚维右边路回传门将，王大雷大脚解围                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
11'戴琳和于洋在中线附近争高球落点倒地                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
11'国安右边路推进，柏佳骏倒地把球铲截破坏                   8'第8分钟，国安角球冲击后徐云龙右翼低平球传中，斯基亚维于利马身前作出关键破坏
12'李建滨身后顶防格隆犯规了                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
12'国安任意球打到右路，低平球的传中被解围                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
13'张稀哲禁区外靠右位置送出传中，中后两点包抄都漏过了                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
14'柏佳骏长传前场，哈蒂布回做给到内切的宋博轩                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
